blank_steps,decoded_delta_deg,dist_to_nearest_clean,dist_to_target_clean,move_steps,nearest_angle_error_deg,nearest_clean_delta_deg,tag,target_delta_deg,velocity_deg
0,14.013545745624613,0.9317808747291565,0.9332237243652344,5,2.640145685496111,12.359854314503885,gru,14.999999999999996,3.0
1,14.062096495253451,0.7664282917976379,0.7678849101066589,5,2.390147101495304,12.609852898504691,gru,14.999999999999996,3.0
5,14.548006397607198,0.4736296236515045,0.47556933760643005,5,2.140148517494497,12.859851482505498,gru,14.999999999999996,3.0
20,14.752037511098154,0.19201873242855072,0.19748547673225403,5,2.390147101495304,12.609852898504691,gru,14.999999999999996,3.0
100,14.779374367544838,0.03173024207353592,0.03830201178789139,5,1.1401473513021003,13.859852648697895,gru,14.999999999999996,3.0
500,16.158111171598748,0.0019258776446804404,0.009735490195453167,5,0.6098495668927167,15.609849566892711,gru,14.999999999999996,3.0
1000,18.025345339036303,0.000699247233569622,0.045495469123125076,5,2.3598533152767036,17.3598533152767,gru,14.999999999999996,3.0
2000,21.8120397578212,0.0018609545659273863,0.11876137554645538,5,6.109852565856316,21.10985256585631,gru,14.999999999999996,3.0
0,14.749324966657662,11.962076187133789,12.11132526397705,5,17.10985173359434,32.10985173359433,lru,14.999999999999996,3.0
1,14.97089351882328,8.863534927368164,9.586104393005371,5,32.64014652032217,-17.640146520322173,lru,14.999999999999996,3.0
5,14.690981998771953,12.971352577209473,13.19009780883789,5,26.359853983137548,41.35985398313755,lru,14.999999999999996,3.0
20,15.372948203376207,15.202810287475586,15.204121589660645,5,2.640145685496111,12.359854314503885,lru,14.999999999999996,3.0
100,15.333767565689536,10.934185981750488,11.417475700378418,5,42.14014735386618,-27.140147353866187,lru,14.999999999999996,3.0
500,128.47833668372598,12.579426765441895,15.415283203125,5,156.60987439855572,171.60987439855572,lru,14.999999999999996,3.0
1000,163.69110026764005,7.755494117736816,15.149024963378906,5,141.35986515185812,156.35986515185812,lru,14.999999999999996,3.0
2000,167.2007111634302,7.246501445770264,15.229259490966797,5,142.10986090386052,157.10986090386055,lru,14.999999999999996,3.0
0,14.878474611524677,1.7674298286437988,2.416182518005371,5,10.640148184846115,4.35985181515388,am_lru_eps0,14.999999999999996,3.0
1,14.884061180150299,1.6298273801803589,2.323852300643921,5,10.640148184846115,4.35985181515388,am_lru_eps0,14.999999999999996,3.0
5,14.913328916711409,1.5350371599197388,2.264806032180786,5,10.640148184846115,4.35985181515388,am_lru_eps0,14.999999999999996,3.0
20,14.962680976810297,1.3141098022460938,2.146075487136841,5,10.890146768846922,4.109853231153074,am_lru_eps0,14.999999999999996,3.0
100,14.871435994774126,1.0671194791793823,2.1275317668914795,5,11.890147935039318,3.1098520649606773,am_lru_eps0,14.999999999999996,3.0
500,14.997743564259817,1.05587637424469,2.1670281887054443,5,12.140146519040128,2.85985348095987,am_lru_eps0,14.999999999999996,3.0
1000,15.005519575581495,1.0561667680740356,2.166893720626831,5,12.140146519040128,2.85985348095987,am_lru_eps0,14.999999999999996,3.0
2000,15.005564503286596,1.056169033050537,2.1668927669525146,5,12.140146519040128,2.85985348095987,am_lru_eps0,14.999999999999996,3.0
0,15.441063116139533,1.3474229574203491,2.3002400398254395,5,11.890147935039318,3.1098520649606773,am_lru_eps3e-5,14.999999999999996,3.0
1,15.432330089806113,1.0547540187835693,2.1660823822021484,5,12.140146519040128,2.85985348095987,am_lru_eps3e-5,14.999999999999996,3.0
5,15.434100948955916,1.0549938678741455,2.1668665409088135,5,12.140146519040128,2.85985348095987,am_lru_eps3e-5,14.999999999999996,3.0
20,15.434167451419238,1.0549927949905396,2.1668550968170166,5,12.140146519040128,2.85985348095987,am_lru_eps3e-5,14.999999999999996,3.0
100,15.434167451419238,1.0549927949905396,2.1668550968170166,5,12.140146519040128,2.85985348095987,am_lru_eps3e-5,14.999999999999996,3.0
500,15.434167451419238,1.0549927949905396,2.1668550968170166,5,12.140146519040128,2.85985348095987,am_lru_eps3e-5,14.999999999999996,3.0
1000,15.434167451419238,1.0549927949905396,2.1668550968170166,5,12.140146519040128,2.85985348095987,am_lru_eps3e-5,14.999999999999996,3.0
2000,15.434167451419238,1.0549927949905396,2.1668550968170166,5,12.140146519040128,2.85985348095987,am_lru_eps3e-5,14.999999999999996,3.0
0,15.239013349910639,1.3456785678863525,2.2872185707092285,5,11.890147935039318,3.1098520649606773,am_lru_eps1e-4,14.999999999999996,3.0
1,15.231794906070705,1.0546989440917969,2.1543145179748535,5,12.140146519040128,2.85985348095987,am_lru_eps1e-4,14.999999999999996,3.0
5,15.231809516668726,1.0546990633010864,2.1543142795562744,5,12.140146519040128,2.85985348095987,am_lru_eps1e-4,14.999999999999996,3.0
20,15.231809516668726,1.0546990633010864,2.1543142795562744,5,12.140146519040128,2.85985348095987,am_lru_eps1e-4,14.999999999999996,3.0
100,15.231809516668726,1.0546990633010864,2.1543142795562744,5,12.140146519040128,2.85985348095987,am_lru_eps1e-4,14.999999999999996,3.0
500,15.231809516668726,1.0546990633010864,2.1543142795562744,5,12.140146519040128,2.85985348095987,am_lru_eps1e-4,14.999999999999996,3.0
1000,15.231809516668726,1.0546990633010864,2.1543142795562744,5,12.140146519040128,2.85985348095987,am_lru_eps1e-4,14.999999999999996,3.0
2000,15.231809516668726,1.0546990633010864,2.1543142795562744,5,12.140146519040128,2.85985348095987,am_lru_eps1e-4,14.999999999999996,3.0
0,15.221619019803274,1.6486388444900513,2.9173903465270996,5,13.140147685232522,1.8598523147674733,am_lru_nw_eps0,14.999999999999996,3.0
1,15.20648604750798,1.4430230855941772,2.800584554672241,5,13.140147685232522,1.8598523147674733,am_lru_nw_eps0,14.999999999999996,3.0
5,15.192604320583158,1.4057925939559937,2.783644676208496,5,13.140147685232522,1.8598523147674733,am_lru_nw_eps0,14.999999999999996,3.0
20,15.17492216336537,1.3237632513046265,2.7470829486846924,5,13.140147685232522,1.8598523147674733,am_lru_nw_eps0,14.999999999999996,3.0
100,15.196809930572313,1.222426414489746,2.710240602493286,5,13.140147685232522,1.8598523147674733,am_lru_nw_eps0,14.999999999999996,3.0
500,15.180174058195716,1.1991063356399536,2.6910719871520996,5,13.140147685232522,1.8598523147674733,am_lru_nw_eps0,14.999999999999996,3.0
1000,15.180888683651906,1.1988894939422607,2.6895840167999268,5,13.140147685232522,1.8598523147674733,am_lru_nw_eps0,14.999999999999996,3.0
2000,15.180923944679556,1.1988857984542847,2.689542055130005,5,13.140147685232522,1.8598523147674733,am_lru_nw_eps0,14.999999999999996,3.0
0,15.110562276610816,1.457040786743164,2.8359081745147705,5,13.39014626923333,1.6098537307666665,am_lru_nw_eps3e-5,14.999999999999996,3.0
1,15.118637437189816,1.194955587387085,2.708449602127075,5,13.140147685232522,1.8598523147674733,am_lru_nw_eps3e-5,14.999999999999996,3.0
5,15.115262468738004,1.1958035230636597,2.7099573612213135,5,13.140147685232522,1.8598523147674733,am_lru_nw_eps3e-5,14.999999999999996,3.0
20,15.11523843059768,1.1958049535751343,2.7099626064300537,5,13.140147685232522,1.8598523147674733,am_lru_nw_eps3e-5,14.999999999999996,3.0
100,15.11523843059768,1.1958049535751343,2.7099626064300537,5,13.140147685232522,1.8598523147674733,am_lru_nw_eps3e-5,14.999999999999996,3.0
500,15.11523843059768,1.1958049535751343,2.7099626064300537,5,13.140147685232522,1.8598523147674733,am_lru_nw_eps3e-5,14.999999999999996,3.0
1000,15.11523843059768,1.1958049535751343,2.7099626064300537,5,13.140147685232522,1.8598523147674733,am_lru_nw_eps3e-5,14.999999999999996,3.0
2000,15.11523843059768,1.1958049535751343,2.7099626064300537,5,13.140147685232522,1.8598523147674733,am_lru_nw_eps3e-5,14.999999999999996,3.0
0,15.167467186357868,1.4532254934310913,2.848111867904663,5,13.39014626923333,1.6098537307666665,am_lru_nw_eps1e-4,14.999999999999996,3.0
1,15.16940882351022,1.1992617845535278,2.727062702178955,5,13.39014626923333,1.6098537307666665,am_lru_nw_eps1e-4,14.999999999999996,3.0
5,15.169418300015705,1.1992638111114502,2.727064847946167,5,13.39014626923333,1.6098537307666665,am_lru_nw_eps1e-4,14.999999999999996,3.0
20,15.169418300015705,1.1992638111114502,2.727064847946167,5,13.39014626923333,1.6098537307666665,am_lru_nw_eps1e-4,14.999999999999996,3.0
