blank_steps,decoded_delta_deg,dist_to_nearest_clean,dist_to_target_clean,move_steps,nearest_angle_error_deg,nearest_clean_delta_deg,tag,target_delta_deg,velocity_deg
0,14.737983269342807,0.9855431318283081,1.1155364513397217,5,23.14014568677815,-8.140145686778157,gru,14.999999999999996,3.0
1,15.213012915732872,0.9301624894142151,1.0541009902954102,5,21.89014593658495,-6.890145936584952,gru,14.999999999999996,3.0
5,15.885491080651628,0.7995285391807556,0.9061715602874756,5,18.64014385400695,-3.640143854006955,gru,14.999999999999996,3.0
20,16.055154497085983,0.5757386088371277,0.6651797890663147,5,13.890150267424112,1.109849732575883,gru,14.999999999999996,3.0
100,15.872398688894888,0.30301520228385925,0.37112095952033997,5,8.640145852461323,6.359854147538673,gru,14.999999999999996,3.0
500,12.81821907061232,0.08111802488565445,0.12685526907444,5,3.8901454356893144,11.10985456431068,gru,14.999999999999996,3.0
1000,14.541783071354269,0.0790262371301651,0.08109886199235916,5,0.640150183300487,14.359849816699509,gru,14.999999999999996,3.0
2000,24.72518454837812,0.07374760508537292,0.22082006931304932,5,9.109856064433504,24.1098560644335,gru,14.999999999999996,3.0
0,13.845335880214341,6.655459880828857,6.889130592346191,5,16.39014976781052,-1.3901497678105241,lru,14.999999999999996,3.0
1,13.987767769938214,12.4169921875,12.464456558227539,5,11.140145352847728,3.859854647152267,lru,14.999999999999996,3.0
5,13.76196852151698,8.911842346191406,9.04102611541748,5,15.140150017617316,-0.14015001761732054,lru,14.999999999999996,3.0
20,14.732667345300241,10.479191780090332,10.633834838867188,5,18.140146686005338,-3.1401466860053415,lru,14.999999999999996,3.0
100,16.774750853538556,11.068906784057617,11.080951690673828,5,5.140145185882518,9.859854814117478,lru,14.999999999999996,3.0
500,13.176734995638414,5.1859917640686035,5.230688571929932,5,6.359851149857121,21.35985114985712,lru,14.999999999999996,3.0
1000,21.36708880351175,5.14008092880249,5.6182074546813965,5,21.859852150366347,36.85985215036634,lru,14.999999999999996,3.0
2000,14.866538717980646,5.826076984405518,6.197205066680908,5,21.609853566365548,36.609853566365544,lru,14.999999999999996,3.0
0,14.985975283980567,1.649198293685913,2.85784912109375,5,12.64014368704174,2.359856312958257,am_lru_eps0,14.999999999999996,3.0
1,14.924350347310222,1.4390977621078491,2.7394509315490723,5,12.39014510304093,2.609854896959063,am_lru_eps0,14.999999999999996,3.0
5,14.929149292674445,1.388334035873413,2.703042984008789,5,12.39014510304093,2.609854896959063,am_lru_eps0,14.999999999999996,3.0
