job_id,model,topology,seed,selection_regime,bottleneck_h1,bottleneck_h2,bottleneck_mean,bottleneck_mean_over_threshold,detected_h1,detected_h2,expected_h1,expected_h2,finite,h1_persistence_1,h1_persistence_2,h1_persistence_3,h2_persistence_1,h2_persistence_2,horizon,knn_scale,signature_distance,signature_match,zero_knn_fraction,task_success,validation_error
pilot__rnn__s1__seed12,rnn,s1,12,ring-selected zero-retuning,0.6757993698120117,0.04316902160644531,0.3594841957092285,0.06266755325300427,1,0,1,0,True,10.637144684791565,0.0,0.0,0.08633804321289062,0.08230304718017578,0,0.49550032928905197,0,True,0.0,True,0.02054002322256565
pilot__rnn__s1__seed12,rnn,s1,12,ring-selected zero-retuning,0.9504575729370117,0.04181861877441406,0.4961380958557129,0.0864899233790818,1,0,1,0,True,9.965638935565948,0.0,0.0,0.08363723754882812,0.08358478546142578,128,0.6964501757301682,0,True,0.0,True,0.02054002322256565
pilot__rnn__s1__seed12,rnn,s1,12,ring-selected zero-retuning,7.569302082061768,0.2418041229248047,3.905553102493286,0.6808406599073499,1,0,1,0,True,15.138604164123535,0.0,0.0,0.4836082458496094,0.2085132598876953,512,0.3597979374402328,0,True,0.0,True,0.02054002322256565
pilot__rnn__s1__seed12,rnn,s1,12,ring-selected zero-retuning,5.736368775367737,4.76837158203125e-07,2.8681846261024475,0.5000000415626311,0,0,1,0,True,2.292724609375,0.0,0.0,0.0,0.0,2048,0.04632918532406578,1,False,0.0,True,0.02054002322256565
pilot__rnn__s1__seed12,rnn,s1,12,ring-selected zero-retuning,5.736368775367737,4.76837158203125e-07,2.8681846261024475,0.5000000415626311,0,0,1,0,True,1.8175807781517506e-05,1.4927703887224197e-05,0.0,0.0,0.0,4096,0.0019853680842799983,1,False,0.0,True,0.02054002322256565
pilot__gru__s1__seed12,gru,s1,12,ring-selected zero-retuning,0.07635974884033203,0.057788848876953125,0.06707429885864258,0.011692814999388302,1,0,1,0,True,11.361303269863129,0.0,0.0,0.11557769775390625,0.11010360717773438,0,0.35086475037667886,0,True,0.0,True,0.0054211486130952835
pilot__gru__s1__seed12,gru,s1,12,ring-selected zero-retuning,0.36737060546875,0.0681309700012207,0.21775078773498535,0.037959691271945144,1,0,1,0,True,11.755857020616531,0.0,0.0,0.1362619400024414,0.1269969940185547,128,0.34840684980808523,0,True,0.0,True,0.0054211486130952835
pilot__gru__s1__seed12,gru,s1,12,ring-selected zero-retuning,1.1924781799316406,0.08479976654052734,0.638638973236084,0.11133157546956057,1,0,1,0,True,12.444660127162933,0.0,0.0,0.1695995330810547,0.1525440216064453,512,0.32590408806674237,0,True,0.0,True,0.0054211486130952835
pilot__gru__s1__seed12,gru,s1,12,ring-selected zero-retuning,9.190328598022461,0.2725658416748047,4.731447219848633,0.8248157336337425,1,0,1,0,True,18.380657196044922,0.0,0.0,0.5451316833496094,0.3601341247558594,2048,0.19407570994466122,0,True,0.0,True,0.0054211486130952835
pilot__gru__s1__seed12,gru,s1,12,ring-selected zero-retuning,9.996503829956055,0.4238719940185547,5.210187911987305,0.9082728318235257,1,0,1,0,True,19.99300765991211,0.0,0.0,0.8477439880371094,0.8071937561035156,4096,0.10448943372425434,0,True,0.0,True,0.0054211486130952835
