run_id,paper_task,paper_model,paper_variant,epsilon,legacy_task,legacy_model,legacy_tag,n_seeds,seed_ids,source_pattern,source_files,decoded_delta_deg_mean,decoded_delta_deg_sd,dist_to_nearest_clean_mean,dist_to_nearest_clean_sd,dist_to_target_clean_mean,dist_to_target_clean_sd,nearest_angle_error_deg_mean,nearest_angle_error_deg_sd
ring_transport.ca_lru,ring_integrate,CA-LRU,state-dependent update,1e-4,ring_integrate,PAN-RNW-full,am_lru_rnw_eps1e-4,3,"0,1,2",analysis_exp88_ring_transport/ring_transport*_seed*.csv,analysis_exp88_ring_transport/ring_transport_writer_seed0.csv;analysis_exp88_ring_transport/ring_transport_seed1.csv;analysis_exp88_ring_transport/ring_transport_seed2.csv,14.9567851678,0.0340625328655,0.0453231856227,0.0256077071849,0.0375586239,0.0316602109459,0.14014618511,0
ring_transport.input_only,ring_integrate,CA-LRU,input-only update,1e-4,ring_integrate,PAN-NW-full,am_lru_nw_eps1e-4,3,"0,1,2",analysis_exp88_ring_transport/ring_transport*_seed*.csv,analysis_exp88_ring_transport/ring_transport_writer_seed0.csv;analysis_exp88_ring_transport/ring_transport_seed1.csv;analysis_exp88_ring_transport/ring_transport_seed2.csv,15.0180352901,0.163182453153,1.19138507048,0.0152733646588,2.41732263565,0.305227280399,12.3068145184,0.946483272284
ring_transport.linear,ring_integrate,CA-LRU,linear update,1e-4,ring_integrate,PAN-full,am_lru_eps1e-4,3,"0,1,2",analysis_exp88_ring_transport/ring_transport*_seed*.csv,analysis_exp88_ring_transport/ring_transport_writer_seed0.csv;analysis_exp88_ring_transport/ring_transport_seed1.csv;analysis_exp88_ring_transport/ring_transport_seed2.csv,15.0011394822,0.199829864201,1.18539468447,0.11933835972,2.50555189451,0.314746282723,12.2234793804,0.14433674977
ring_transport.gru,ring_integrate,GRU,,,ring_integrate,GRU,gru,3,"0,1,2",analysis_exp88_ring_transport/ring_transport*_seed*.csv,analysis_exp88_ring_transport/ring_transport_writer_seed0.csv;analysis_exp88_ring_transport/ring_transport_seed1.csv;analysis_exp88_ring_transport/ring_transport_seed2.csv,14.103287858,15.9414902518,0.0511743577663,0.0427574506156,0.218913510442,0.0992125957203,10.78661805,5.70311219684
ring_transport.lru,ring_integrate,LRU,full,,ring_integrate,LRU full,lru,3,"0,1,2",analysis_exp88_ring_transport/ring_transport*_seed*.csv,analysis_exp88_ring_transport/ring_transport_writer_seed0.csv;analysis_exp88_ring_transport/ring_transport_seed1.csv;analysis_exp88_ring_transport/ring_transport_seed2.csv,24.460344785,138.193451059,8.48169072469,3.44356828207,11.749973774,4.85993832924,93.7032875742,63.6463939958
