run_id,paper_task,paper_model,paper_variant,epsilon,legacy_task,legacy_model,legacy_tag,n_seeds,seed_ids,source_pattern,source_files,memory_dimension,pca_participation_ratio_mean,pca_participation_ratio_sd,pca_dimension_90_percent_mean,pca_dimension_90_percent_sd,persistent_coordinate_count_mean,persistent_coordinate_count_sd,retention_sum_mean,retention_sum_sd,temporal_ood_2000_rmse_mean,temporal_ood_2000_rmse_sd,temporal_ood_2000_post_hold_500_rmse_mean,temporal_ood_2000_post_hold_500_rmse_sd,trainable_parameter_count_mean,trainable_parameter_count_sd
retention_scaling.line_integrate.d1,line_integrate,CA-LRU,state-dependent update,1e-4,line_integrate,PAN-RNW-full,camn_rnw_eps1e-4,3,"0,1,2",exp72_line_integrate_10k_d1_camn_rnw_eps1e-4_results/*.json,exp72_line_integrate_10k_d1_camn_rnw_eps1e-4_results/line_integrate_d1_camn_rnw_eps1e-4_seed0.json;exp72_line_integrate_10k_d1_camn_rnw_eps1e-4_results/line_integrate_d1_camn_rnw_eps1e-4_seed1.json;exp72_line_integrate_10k_d1_camn_rnw_eps1e-4_results/line_integrate_d1_camn_rnw_eps1e-4_seed2.json,1,1.4845950684611116,0.11576314433048622,2.0,0.0,6.666666666666667,1.5275252316519465,6.678550720214844,1.526926919167105,0.5710505942503611,0.14879943531945686,0.5698267618815104,0.14972958301347059,56641.0,0.0
retention_scaling.line_integrate.d2,line_integrate,CA-LRU,state-dependent update,1e-4,line_integrate,PAN-RNW-full,camn_rnw_eps1e-4,3,"0,1,2",exp72_line_integrate_10k_d2_camn_rnw_eps1e-4_results/*.json,exp72_line_integrate_10k_d2_camn_rnw_eps1e-4_results/line_integrate_d2_camn_rnw_eps1e-4_seed0.json;exp72_line_integrate_10k_d2_camn_rnw_eps1e-4_results/line_integrate_d2_camn_rnw_eps1e-4_seed1.json;exp72_line_integrate_10k_d2_camn_rnw_eps1e-4_results/line_integrate_d2_camn_rnw_eps1e-4_seed2.json,2,2.8200773899487834,0.09734030702703478,3.0,0.0,8.0,0.0,8.011472702026367,6.346772434987959e-05,0.1922969470421473,0.011822411764599083,0.19154744843641916,0.011953490002172855,56930.0,0.0
retention_scaling.line_integrate.d4,line_integrate,CA-LRU,state-dependent update,1e-4,line_integrate,PAN-RNW-full,camn_rnw_eps1e-4,3,"0,1,2",exp72_line_integrate_10k_d4_camn_rnw_eps1e-4_results/*.json,exp72_line_integrate_10k_d4_camn_rnw_eps1e-4_results/line_integrate_d4_camn_rnw_eps1e-4_seed0.json;exp72_line_integrate_10k_d4_camn_rnw_eps1e-4_results/line_integrate_d4_camn_rnw_eps1e-4_seed1.json;exp72_line_integrate_10k_d4_camn_rnw_eps1e-4_results/line_integrate_d4_camn_rnw_eps1e-4_seed2.json,4,5.958462821519491,0.35467275143265825,6.666666666666667,0.5773502691896257,8.333333333333334,0.5773502691896257,8.344663937886557,0.5772106916842898,0.06618756055831909,0.012784238847464895,0.06397558624545734,0.011615606651075968,57508.0,0.0
retention_scaling.line_integrate.d8,line_integrate,CA-LRU,state-dependent update,1e-4,line_integrate,PAN-RNW-full,camn_rnw_eps1e-4,3,"0,1,2",exp72_line_integrate_10k_d8_camn_rnw_eps1e-4_results/*.json,exp72_line_integrate_10k_d8_camn_rnw_eps1e-4_results/line_integrate_d8_camn_rnw_eps1e-4_seed0.json;exp72_line_integrate_10k_d8_camn_rnw_eps1e-4_results/line_integrate_d8_camn_rnw_eps1e-4_seed1.json;exp72_line_integrate_10k_d8_camn_rnw_eps1e-4_results/line_integrate_d8_camn_rnw_eps1e-4_seed2.json,8,10.700944008536318,0.30091307015145724,11.0,0.0,11.333333333333334,0.5773502691896257,11.344084739685059,0.5772225294143258,0.03962237139542898,0.0029669080089034052,0.0382721113661925,0.002488563790118673,58664.0,0.0
retention_scaling.line_integrate.d16,line_integrate,CA-LRU,state-dependent update,1e-4,line_integrate,PAN-RNW-full,camn_rnw_eps1e-4,3,"0,1,2",exp72_line_integrate_10k_d16_camn_rnw_eps1e-4_results/*.json,exp72_line_integrate_10k_d16_camn_rnw_eps1e-4_results/line_integrate_d16_camn_rnw_eps1e-4_seed0.json;exp72_line_integrate_10k_d16_camn_rnw_eps1e-4_results/line_integrate_d16_camn_rnw_eps1e-4_seed1.json;exp72_line_integrate_10k_d16_camn_rnw_eps1e-4_results/line_integrate_d16_camn_rnw_eps1e-4_seed2.json,16,18.740564443603436,0.5470694099740049,20.333333333333332,0.5773502691896257,13.0,0.0,13.010560989379883,0.00012343360662356138,0.25925494233767193,0.004124929066981548,0.2586150070031484,0.004487343062752468,60976.0,0.0
