run_id,paper_task,paper_model,paper_variant,epsilon,legacy_task,legacy_model,legacy_tag,n_seeds,seed_ids,source_pattern,source_files,task_rmse_mean,task_rmse_sd,post_hold_1000_rmse_mean,post_hold_1000_rmse_sd,normal_kick_1x_recovery_500_rmse_mean,normal_kick_1x_recovery_500_rmse_sd,tangent_shift_recovery_500_rmse_mean,tangent_shift_recovery_500_rmse_sd,persistent_coordinate_count_mean,persistent_coordinate_count_sd,retention_sum_mean,retention_sum_sd,trainable_parameter_count_mean,trainable_parameter_count_sd,wall_time_seconds_mean,wall_time_seconds_sd
main.complex_curve_hold.lstm,complex_curve_hold,LSTM,,,complex_curve_hold,LSTM,lstm,3,"0,1,2",exp88_manifold_main_results/complex_curve_hold_lstm_seed*.json,exp88_manifold_main_results/complex_curve_hold_lstm_seed0.json;exp88_manifold_main_results/complex_curve_hold_lstm_seed1.json;exp88_manifold_main_results/complex_curve_hold_lstm_seed2.json,0.049303705183168255,0.040493209769954464,0.16328144818544388,0.09879696092795912,0.11876638482014339,0.07821405065023028,0.11855128531654675,0.08244611140904835,,,,,46723.0,0.0,1183.9594282309215,42.95866757548493
main.complex_curve_hold.ssm,complex_curve_hold,SSM,diagonal,,complex_curve_hold,SSM,ssm,3,"0,1,2",exp88_manifold_main_results/complex_curve_hold_ssm_seed*.json,exp88_manifold_main_results/complex_curve_hold_ssm_seed0.json;exp88_manifold_main_results/complex_curve_hold_ssm_seed1.json;exp88_manifold_main_results/complex_curve_hold_ssm_seed2.json,0.07930805285771687,0.029585706356912805,0.6373184323310852,0.012293964206936724,0.623252789179484,0.013436052908658864,0.623631755510966,0.013803676050110071,5.333333333333333,0.5773502691896257,91.18457539876302,0.09674104947216454,7267.0,0.0,918.6743936538696,26.013972150350718
main.complex_curve_hold.rnn,complex_curve_hold,RNN,tanh,,complex_curve_hold,RNN,rnn,3,"0,1,2",exp88_manifold_main_results/complex_curve_hold_rnn_seed*.json,exp88_manifold_main_results/complex_curve_hold_rnn_seed0.json;exp88_manifold_main_results/complex_curve_hold_rnn_seed1.json;exp88_manifold_main_results/complex_curve_hold_rnn_seed2.json,0.18824940423170725,0.01480846130407398,0.1882694959640503,0.014785176166499832,0.188216562072436,0.014846620442431437,0.1872898985942205,0.01471146132561539,,,,,16483.0,0.0,918.0065075556437,19.556614656163113
main.complex_curve_integrate.ca_lru,complex_curve_integrate,CA-LRU,state-dependent update,1e-4,complex_curve_integrate,PAN-RNW-full,am_lru_rnw_eps1e-4,3,"0,1,2",exp88_writer_sweep_results/complex_curve_integrate_am_lru_rnw_eps1e-4_seed*.json,exp88_writer_sweep_results/complex_curve_integrate_am_lru_rnw_eps1e-4_seed0.json;exp88_writer_sweep_results/complex_curve_integrate_am_lru_rnw_eps1e-4_seed1.json;exp88_writer_sweep_results/complex_curve_integrate_am_lru_rnw_eps1e-4_seed2.json,0.003623959065104524,0.0006355734075252919,0.003623959065104524,0.0006355734075252919,0.011869709938764572,0.0003002241270750305,0.0033842361687372127,0.0003646171022644983,6.666666666666667,1.1547005383792515,6.678342978159587,1.154431705946211,57219.0,0.0,4247.641475915909,211.09421556635368
main.complex_curve_integrate.gru,complex_curve_integrate,GRU,,,complex_curve_integrate,GRU,gru,3,"0,1,2",exp88_manifold_main_results/complex_curve_integrate_gru_seed*.json,exp88_manifold_main_results/complex_curve_integrate_gru_seed0.json;exp88_manifold_main_results/complex_curve_integrate_gru_seed1.json;exp88_manifold_main_results/complex_curve_integrate_gru_seed2.json,0.021406175568699837,0.0021219751332623702,0.26385195056597394,0.07770495052042982,0.14538961400588354,0.05062040103790891,0.1489070529739062,0.047487886765538216,,,,,36643.0,0.0,2210.6099228064218,45.259260840534616
main.complex_curve_integrate.lru,complex_curve_integrate,LRU,full,,complex_curve_integrate,LRU full,lru,3,"0,1,2",exp88_manifold_main_results/complex_curve_integrate_lru_seed*.json,exp88_manifold_main_results/complex_curve_integrate_lru_seed0.json;exp88_manifold_main_results/complex_curve_integrate_lru_seed1.json;exp88_manifold_main_results/complex_curve_integrate_lru_seed2.json,0.06644522771239281,0.00857734391336314,0.7101056575775146,0.09739075710402721,0.6567100882530212,0.040392150802857,0.658103863398234,0.042874621471102874,35.0,6.557438524302,91.60336812337239,1.19948496416639,57123.0,0.0,5276.92138338089,323.18892237182763
main.complex_curve_integrate.lstm,complex_curve_integrate,LSTM,,,complex_curve_integrate,LSTM,lstm,3,"0,1,2",exp88_manifold_main_results/complex_curve_integrate_lstm_seed*.json,exp88_manifold_main_results/complex_curve_integrate_lstm_seed0.json;exp88_manifold_main_results/complex_curve_integrate_lstm_seed1.json;exp88_manifold_main_results/complex_curve_integrate_lstm_seed2.json,0.09609667460123698,0.021881437304871684,0.3523581226666768,0.07018070881416938,0.2515269915262858,0.05928715590840743,0.25388799607753754,0.0540291717807314,,,,,46723.0,0.0,2502.537861585617,139.50230348846267
main.complex_curve_integrate.ssm,complex_curve_integrate,SSM,diagonal,,complex_curve_integrate,SSM,ssm,3,"0,1,2",exp88_manifold_main_results/complex_curve_integrate_ssm_seed*.json,exp88_manifold_main_results/complex_curve_integrate_ssm_seed0.json;exp88_manifold_main_results/complex_curve_integrate_ssm_seed1.json;exp88_manifold_main_results/complex_curve_integrate_ssm_seed2.json,0.07825226336717606,0.015592220188031657,0.66262815395991,0.16398049493296465,0.48402194182078045,0.09228763747453399,0.48355303208033246,0.09283905421168835,12.666666666666666,1.5275252316519468,92.4478047688802,0.01398111753423019,7267.0,0.0,2193.1755431493125,21.497955870658952
main.complex_curve_integrate.rnn,complex_curve_integrate,RNN,tanh,,complex_curve_integrate,RNN,rnn,3,"0,1,2",exp88_manifold_main_results/complex_curve_integrate_rnn_seed*.json,exp88_manifold_main_results/complex_curve_integrate_rnn_seed0.json;exp88_manifold_main_results/complex_curve_integrate_rnn_seed1.json;exp88_manifold_main_results/complex_curve_integrate_rnn_seed2.json,0.438249150911967,0.018739201770040643,0.438249150911967,0.018739201770040643,0.438249150911967,0.018739201770040643,0.4423092106978099,0.027377590589303884,,,,,16483.0,0.0,2186.3341608047485,103.6777153406772
main.surface_hold.ca_lru,surface_hold,CA-LRU,state-dependent update,3e-5,surface_hold,PAN-RNW-full,am_lru_rnw_eps3e-5,3,"0,1,2",exp88_writer_sweep_results/surface_hold_am_lru_rnw_eps3e-5_seed*.json,exp88_writer_sweep_results/surface_hold_am_lru_rnw_eps3e-5_seed0.json;exp88_writer_sweep_results/surface_hold_am_lru_rnw_eps3e-5_seed1.json;exp88_writer_sweep_results/surface_hold_am_lru_rnw_eps3e-5_seed2.json,0.0016900923025483887,0.00021907318292772982,0.0016900923025483887,0.00021907318292772982,0.016117770845691364,0.0013340052588263459,0.0017024775346120198,0.00022564909702830655,4.333333333333333,0.5773502691896257,17.55665461222331,0.3719875422898894,57123.0,0.0,3272.3250393867493,166.76910988830969
