run_id,paper_task,paper_model,paper_variant,epsilon,legacy_task,legacy_model,legacy_tag,n_seeds,seed_ids,source_pattern,source_files,id_final_rmse_mean,id_final_rmse_sd,id_post_hold_500_rmse_mean,id_post_hold_500_rmse_sd,temporal_ood_2000_final_rmse_mean,temporal_ood_2000_final_rmse_sd,temporal_ood_2000_post_hold_500_rmse_mean,temporal_ood_2000_post_hold_500_rmse_sd,velocity_1_5x_final_rmse_mean,velocity_1_5x_final_rmse_sd,velocity_1_5x_post_hold_500_rmse_mean,velocity_1_5x_post_hold_500_rmse_sd,velocity_2x_final_rmse_mean,velocity_2x_final_rmse_sd,velocity_2x_post_hold_500_rmse_mean,velocity_2x_post_hold_500_rmse_sd,temporal_ood_normal_kick_recovery_rmse_mean,temporal_ood_normal_kick_recovery_rmse_sd,temporal_ood_repeated_100_kicks_rmse_mean,temporal_ood_repeated_100_kicks_rmse_sd
ood.ring_integrate.ca_lru,ring_integrate,CA-LRU,state-dependent update,1e-4,ring_integrate,PAN-RNW-full,am_lru_rnw_eps1e-4,3,"0,1,2",exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps1e-4_seed*.json,exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps1e-4_seed0.json;exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps1e-4_seed1.json;exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps1e-4_seed2.json,0.00218153634341,0.00203699796838,0.00218153634341,0.00203699796838,0.0039999341437,0.00168785226086,0.0039999341437,0.00168785226086,0.00346656873201,0.00156996560293,0.00346656873201,0.00156996560293,0.00842729800691,0.000787712768045,0.00842729800691,0.000787712768045,0.0167109618584,0.00122442041391,0.166597560048,0.0103763233736
ood.ring_integrate.linear_update,ring_integrate,CA-LRU,linear update,3e-5,ring_integrate,PAN-full,am_lru_eps3e-5,3,"0,1,2",exp88_manifold_main_results/ring_integrate_am_lru_eps3e-5_seed*.json,exp88_manifold_main_results/ring_integrate_am_lru_eps3e-5_seed0.json;exp88_manifold_main_results/ring_integrate_am_lru_eps3e-5_seed1.json;exp88_manifold_main_results/ring_integrate_am_lru_eps3e-5_seed2.json,0.00857888363923,0.00537506328699,0.00857888363923,0.00537506328699,0.106051104764,0.0276639155395,0.106051104764,0.0276639155395,0.0535669426123,0.0376515061321,0.0535669426123,0.0376515061321,0.163372382522,0.0086553237265,0.163372382522,0.0086553237265,0.108211147288,0.0263021883029,0.262507652243,0.0149144865969
ood.ring_integrate.gru,ring_integrate,GRU,,,ring_integrate,GRU,gru,3,"0,1,2",exp88_manifold_main_results/ring_integrate_gru_seed*.json,exp88_manifold_main_results/ring_integrate_gru_seed0.json;exp88_manifold_main_results/ring_integrate_gru_seed1.json;exp88_manifold_main_results/ring_integrate_gru_seed2.json,0.0199402446548,0.00432285944357,0.106680937111,0.0364812362697,0.472037394842,0.0864992745606,0.540377825499,0.0625777584088,0.0570652037859,0.0105405823921,0.160484681527,0.0645525094164,0.172226836284,0.0150800463594,0.233576963345,0.0383944079388,0.539936751127,0.0621792939563,0.558583974838,0.0546357264322
ood.ring_integrate.lstm,ring_integrate,LSTM,,,ring_integrate,LSTM,lstm,3,"0,1,2",exp88_manifold_main_results/ring_integrate_lstm_seed*.json,exp88_manifold_main_results/ring_integrate_lstm_seed0.json;exp88_manifold_main_results/ring_integrate_lstm_seed1.json;exp88_manifold_main_results/ring_integrate_lstm_seed2.json,0.0861995890737,0.030048706152,0.256279160579,0.0864164127046,0.509720335404,0.200821647919,0.599208702644,0.214360793292,0.0857976426681,0.0252916110438,0.248627046744,0.0916538903581,0.123397928973,0.0174661113263,0.264208530386,0.056833001607,0.599188745022,0.214338428183,0.601036399603,0.2143749444
ood.ring_integrate.lru,ring_integrate,LRU,full,,ring_integrate,LRU full,lru,3,"0,1,2",exp88_manifold_main_results/ring_integrate_lru_seed*.json,exp88_manifold_main_results/ring_integrate_lru_seed0.json;exp88_manifold_main_results/ring_integrate_lru_seed1.json;exp88_manifold_main_results/ring_integrate_lru_seed2.json,0.0543904987474,0.0117547337947,0.85574734211,0.191445324674,0.899329642455,0.190152353468,0.897511661053,0.201279400834,0.130912917356,0.0143360233427,0.873892923196,0.182446563611,0.225932409366,0.0255309384192,0.905476272106,0.132385795485,0.897592027982,0.20103557674,0.916886945566,0.163898206382
ood.ring_integrate.ssm,ring_integrate,SSM,diagonal,,ring_integrate,SSM,ssm,3,"0,1,2",exp88_manifold_main_results/ring_integrate_ssm_seed*.json,exp88_manifold_main_results/ring_integrate_ssm_seed0.json;exp88_manifold_main_results/ring_integrate_ssm_seed1.json;exp88_manifold_main_results/ring_integrate_ssm_seed2.json,0.0668622155984,0.00568858040406,0.70556807518,0.052029812363,0.817197004954,0.0281164506811,0.81968386968,0.0297561847347,0.167563771208,0.0192761682173,0.745907366276,0.0489416417879,0.284771194061,0.0205861784804,0.762376507123,0.0249789683344,0.819674034913,0.0296487603699,0.825645009677,0.0353043580753
ood.ring_integrate.rnn,ring_integrate,RNN,tanh,,ring_integrate,RNN,rnn,3,"0,1,2",exp88_manifold_main_results/ring_integrate_rnn_seed*.json,exp88_manifold_main_results/ring_integrate_rnn_seed0.json;exp88_manifold_main_results/ring_integrate_rnn_seed1.json;exp88_manifold_main_results/ring_integrate_rnn_seed2.json,0.555085917314,0.0387002319424,0.555085917314,0.0387002319424,0.778062740962,0.00574268640126,0.778062740962,0.00574268640126,0.733646452427,0.0207554246302,0.733646432559,0.0207554543865,0.844086865584,0.0241318548496,0.844086885452,0.0241318206779,0.778062740962,0.00574268640126,0.778021872044,0.0057594711764
