topology,model,model_label,horizon,seed_count,signature_match_count,signature_match_fraction,expected_h1,expected_h2,knn_scale_median,knn_scale_min,knn_scale_max,zero_knn_fraction_median,zero_knn_fraction_min,zero_knn_fraction_max,detected_h1_median,detected_h1_min,detected_h1_max,detected_h2_median,detected_h2_min,detected_h2_max,signature_distance_median,signature_distance_min,signature_distance_max,bottleneck_h1_median,bottleneck_h1_min,bottleneck_h1_max,bottleneck_h2_median,bottleneck_h2_min,bottleneck_h2_max,bottleneck_mean_median,bottleneck_mean_min,bottleneck_mean_max,bottleneck_mean_over_threshold_median,bottleneck_mean_over_threshold_min,bottleneck_mean_over_threshold_max,h1_persistence_1_median,h1_persistence_1_min,h1_persistence_1_max,h1_persistence_2_median,h1_persistence_2_min,h1_persistence_2_max,h1_persistence_3_median,h1_persistence_3_min,h1_persistence_3_max,h2_persistence_1_median,h2_persistence_1_min,h2_persistence_1_max,h2_persistence_2_median,h2_persistence_2_min,h2_persistence_2_max
s1,rnn,RNN,0,3,2,0.6666666666666666,1,0,0.4136586275204063,0.06256935747827944,0.49550032928905197,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8162727355957031,0.6757993698120117,5.736368775367737,0.04316902160644531,4.76837158203125e-07,0.07234430313110352,0.4443085193634033,0.3594841957092285,2.8681846261024475,0.0774546645730461,0.06266755325300427,0.5000000415626311,10.637144684791565,0.014828264713287354,11.842623770236969,0.0,0.0,0.0,0.0,0.0,0.0,0.08633804321289062,0.0,0.14468860626220703,0.08230304718017578,0.0,0.10608482360839844
s1,rnn,RNN,128,3,2,0.6666666666666666,1,0,0.6964501757301682,0.05222135643782834,0.8253652038720456,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5436649322509766,0.9504575729370117,5.736368775367737,0.04181861877441406,4.76837158203125e-07,0.041937828063964844,1.2928013801574707,0.4961380958557129,2.8681846261024475,0.2253692938481965,0.0864899233790818,0.5000000415626311,8.25175428390503,0.0,9.965638935565948,0.0,0.0,0.0,0.0,0.0,0.0,0.08363723754882812,0.0,0.08387565612792969,0.06138324737548828,0.0,0.08358478546142578
s1,rnn,RNN,512,3,2,0.6666666666666666,1,0,0.33730998268213364,0.01304427661035891,0.3597979374402328,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.3471808433532715,5.736368775367737,7.569302082061768,0.10222816467285156,4.76837158203125e-07,0.2418041229248047,3.2247045040130615,2.8681846261024475,3.905553102493286,0.5621508362328637,0.5000000415626311,0.6808406599073499,12.694361686706543,1.0355850463383831e-05,15.138604164123535,0.0,0.0,3.5574339563027024e-06,0.0,0.0,2.262248017359525e-06,0.20445632934570312,0.0,0.4836082458496094,0.12822914123535156,0.0,0.2085132598876953
s1,rnn,RNN,2048,3,0,0.0,1,0,0.0011924035815617032,3.769728732309794e-07,0.04632918532406578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.736368775367737,5.736368775367737,5.736368775367737,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07,2.8681846261024475,2.8681846261024475,2.8681846261024475,0.5000000415626311,0.5000000415626311,0.5000000415626311,0.5,6.136216688901186e-05,2.292724609375,0.0,0.0,0.09953784942626953,0.0,0.0,0.03518033027648926,0.0,0.0,0.0,0.0,0.0,0.0
s1,gru,GRU,0,3,3,1.0,1,0,0.35325754115877256,0.35086475037667886,0.3562141886341905,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07635974884033203,0.039536476135253906,0.1797466278076172,0.05714607238769531,0.056809425354003906,0.057788848876953125,0.06707429885864258,0.04834127426147461,0.11827802658081055,0.011692814999388302,0.008427155950826336,0.020618971898860913,11.361303269863129,11.278078019618988,11.409713000059128,0.0,0.0,0.0,0.0,0.0,0.0,0.11429214477539062,0.11361885070800781,0.11557769775390625,0.11010360717773438,0.10794258117675781,0.1103982925415039
s1,gru,GRU,128,3,3,1.0,1,0,0.35740484542314976,0.34840684980808523,0.37274010094809285,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2720012664794922,0.17841339111328125,0.36737060546875,0.0681309700012207,0.055161476135253906,0.06844043731689453,0.17022085189819336,0.11678743362426758,0.21775078773498535,0.029673972954655646,0.020359122329400934,0.037959691271945144,11.693139493465424,11.291260480880737,11.755857020616531,0.0,0.0,0.0,0.0,0.0,0.0,0.1362619400024414,0.11032295227050781,0.13688087463378906,0.11377429962158203,0.1052083969116211,0.1269969940185547
s1,gru,GRU,512,3,3,1.0,1,0,0.3394621145518164,0.32590408806674237,0.3547678880377082,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9180030822753906,0.4407796859741211,1.1924781799316406,0.07391119003295898,0.06319236755371094,0.08479976654052734,0.4959571361541748,0.251986026763916,0.638638973236084,0.08645837734209842,0.0439277941554171,0.11133157546956057,12.118899524211884,11.705183625221252,12.444660127162933,0.0,0.0,0.0,0.0,0.0,0.0,0.14782238006591797,0.12638473510742188,0.1695995330810547,0.12396812438964844,0.11143302917480469,0.1525440216064453
s1,gru,GRU,2048,3,3,1.0,1,0,0.19407570994466122,0.1615393373954263,0.28335453581190584,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.190328598022461,3.5330162048339844,10.46717882156372,0.2725658416748047,0.17357110977172852,0.4430828094482422,4.731447219848633,1.8532936573028564,5.4551308155059814,0.8248157336337425,0.3230778441687701,0.9509728242944551,18.380657196044922,12.238019704818726,20.93435764312744,0.0,0.0,0.0,0.0,0.0,0.0,0.5451316833496094,0.34714221954345703,0.8861656188964844,0.3601341247558594,0.2479257583618164,0.7492160797119141
s1,lstm,LSTM,0,3,3,1.0,1,0,0.47138513301026724,0.44421960204532973,0.4745946340888827,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6255006790161133,0.5624094009399414,0.6932907104492188,0.054945945739746094,0.05098581314086914,0.060152530670166016,0.34282660484313965,0.3066976070404053,0.3741183280944824,0.05976369690792105,0.05346546204584695,0.06521866754818237,10.821525156497955,10.757853865623474,10.831788271665573,0.0,0.0,0.0,0.0,0.0,0.0,0.10989189147949219,0.10197162628173828,0.12030506134033203,0.09856128692626953,0.08952999114990234,0.1140298843383789
s1,lstm,LSTM,128,3,3,1.0,1,0,0.459506850676299,0.43080757334424835,0.4790147389185404,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4593067169189453,0.2937040328979492,0.6100320816040039,0.05182361602783203,0.05148458480834961,0.05279684066772461,0.25539565086364746,0.17325043678283691,0.33092784881591797,0.04452218134237282,0.03020210930768315,0.05768943067902803,10.925264954566956,10.739570409059525,11.105141758918762,0.0,0.0,0.0,0.0,0.0,0.0,0.10364723205566406,0.10296916961669922,0.10559368133544922,0.10109615325927734,0.09905433654785156,0.10444355010986328
