job_id,model,model_label,topology,seed,task_success,validation_error,selection_regime,component_mse,condition_axis,condition_id,condition_label,condition_value,divergence_step,dwell_profile,dwell_step_mean_error_radians,finite,gp_length_scale,hold_baseline_mean_error_radians,horizon,last_quarter_mean_error_radians,moving_step_mean_error_radians,output_norm_absolute_error,post_blank_0_mean_error_radians,post_blank_0_median_error_radians,post_blank_1024_mean_error_radians,post_blank_1024_median_error_radians,post_blank_128_mean_error_radians,post_blank_128_median_error_radians,post_blank_1536_mean_error_radians,post_blank_1536_median_error_radians,post_blank_2048_mean_error_radians,post_blank_2048_median_error_radians,post_blank_256_mean_error_radians,post_blank_256_median_error_radians,post_blank_4096_mean_error_radians,post_blank_4096_median_error_radians,post_blank_512_mean_error_radians,post_blank_512_median_error_radians,post_blank_768_mean_error_radians,post_blank_768_median_error_radians,sequence_mean_error_radians,terminal_mean_error_radians,trial_median_error_radians,trial_p90_error_radians,velocity_scale
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.09561406075954437,smoothness,correlation_x0p5,ell=0.5x,0.5,,variable_sparsity,0.17451700568199158,True,0.5,1.2179415225982666,128,0.5403960943222046,0.34636422991752625,0.19348347187042236,0.6186882853507996,0.27452969551086426,,,,,,,,,,,,,0.944696843624115,0.6302142143249512,,,0.30406323075294495,0.6186882853507996,0.1613207459449768,0.8241066932678223,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.0925828069448471,smoothness,correlation_x0p75,ell=0.75x,0.75,,variable_sparsity,0.17939576506614685,True,0.75,1.2373747825622559,128,0.5405017137527466,0.3400503396987915,0.19332067668437958,0.5793872475624084,0.2094871997833252,,,,,,,,,,,,,0.9690956473350525,0.6551878452301025,,,0.3005044460296631,0.5793872475624084,0.15691615641117096,0.926170825958252,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.09197116643190384,smoothness,correlation_x1p5,ell=1.5x,1.5,,variable_sparsity,0.17740610241889954,True,1.5,1.2451282739639282,128,0.5863744616508484,0.3628256618976593,0.20238666236400604,0.5975582599639893,0.22222447395324707,,,,,,,,,,,,,1.0557265281677246,0.7722804546356201,,,0.3171837329864502,0.5975582599639893,0.14963676035404205,0.987143874168396,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.09155452251434326,smoothness,correlation_x2,ell=2x,2.0,,variable_sparsity,0.17384420335292816,True,2.0,1.252528429031372,128,0.5676352381706238,0.3686257302761078,0.2024376094341278,0.5963737964630127,0.22278927266597748,,,,,,,,,,,,,1.0027520656585693,0.7005069255828857,,,0.32067936658859253,0.5963737964630127,0.1462305635213852,0.9605801105499268,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.09014400094747543,smoothness,correlation_x3,ell=3x,3.0,,variable_sparsity,0.168300598859787,True,3.0,1.257981538772583,128,0.5310543775558472,0.35556477308273315,0.20167241990566254,0.5872169137001038,0.22663377225399017,,,,,,,,,,,,,1.0977365970611572,0.8361287117004395,,,0.3094688057899475,0.5872169137001038,0.1417667120695114,0.9633786678314209,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.08923335373401642,smoothness,correlation_x4,ell=4x,4.0,,variable_sparsity,0.16967523097991943,True,4.0,1.278252363204956,128,0.5232164859771729,0.34700343012809753,0.2019711136817932,0.5972974300384521,0.2224898338317871,,,,,,,,,,,,,1.0553761720657349,0.8502223491668701,,,0.3033532500267029,0.5972974300384521,0.14205478131771088,0.9360928535461426,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.011925948783755302,dwell,dwell_block128,all blank 128,128,,all_blank,0.10682016611099243,True,1.0,0.0,128,0.1478499472141266,,0.039218951016664505,0.1563349962234497,0.12608718872070312,,,,,,,,,,,,,0.38944074511528015,0.39502763748168945,,,0.10682016611099243,0.1563349962234497,0.0777176097035408,0.18961846828460693,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.06633803248405457,dwell,dwell_block32,blank block 32,32,,variable_sparsity,0.1958828568458557,True,1.0,1.2173771858215332,128,0.3757324516773224,0.2568152844905853,0.1525288224220276,0.4628823399543762,0.20785807073116302,,,,,,,,,,,,,0.910435676574707,0.6258633136749268,,,0.23029866814613342,0.4628823399543762,0.12388135492801666,0.46300914883613586,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.04036148265004158,dwell,dwell_block64,blank block 64,64,,variable_sparsity,0.15751318633556366,True,1.0,1.1519736051559448,128,0.2373909205198288,0.18793027102947235,0.09662027657032013,0.27210551500320435,0.15295076370239258,,,,,,,,,,,,,0.7004565000534058,0.5149340629577637,,,0.16896691918373108,0.27210551500320435,0.10870669782161713,0.3555508852005005,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.080196812748909,dwell,dwell_block8,blank block 8,8,,variable_sparsity,0.1829039603471756,True,1.0,1.2458138465881348,128,0.46636855602264404,0.3052181005477905,0.18475569784641266,0.5443153381347656,0.23259615898132324,,,,,,,,,,,,,0.9087086915969849,0.62550950050354,,,0.26934653520584106,0.5443153381347656,0.13357335329055786,0.7839474081993103,1.0
