topology,condition_id,condition_axis,condition_value,condition_label,eligible_baseline_models,eligible_baseline_count,alive_baseline_count,transition_baseline_count,collapsed_baseline_count,collapsed_baseline_models,chance_collapsed_baseline_count,chance_collapsed_baseline_models,severely_degraded_baseline_count,severely_degraded_baseline_models,universal_baseline_failure,universal_baseline_chance_collapse,calru_status
t2,correlation_x1p5,smoothness,1.5,ell=1.5x,"gru,lstm",2,2,0,0,,0,,0,,False,False,alive
s2,correlation_x1p5,smoothness,1.5,ell=1.5x,lstm,1,1,0,0,,0,,0,,False,False,alive
s1,correlation_x2,smoothness,2.0,ell=2x,"rnn,gru,lstm",3,3,0,0,,0,,0,,False,False,alive
t2,correlation_x2,smoothness,2.0,ell=2x,"gru,lstm",2,2,0,0,,0,,0,,False,False,alive
s2,correlation_x2,smoothness,2.0,ell=2x,lstm,1,1,0,0,,0,,0,,False,False,alive
s1,correlation_x3,smoothness,3.0,ell=3x,"rnn,gru,lstm",3,3,0,0,,0,,0,,False,False,alive
t2,correlation_x3,smoothness,3.0,ell=3x,"gru,lstm",2,2,0,0,,0,,0,,False,False,alive
s2,correlation_x3,smoothness,3.0,ell=3x,lstm,1,1,0,0,,0,,0,,False,False,alive
s1,correlation_x4,smoothness,4.0,ell=4x,"rnn,gru,lstm",3,3,0,0,,0,,0,,False,False,alive
t2,correlation_x4,smoothness,4.0,ell=4x,"gru,lstm",2,2,0,0,,0,,0,,False,False,alive
s2,correlation_x4,smoothness,4.0,ell=4x,lstm,1,1,0,0,,0,,0,,False,False,alive
s1,dwell_block8,dwell,8,blank block 8,"rnn,gru,lstm",3,3,0,0,,0,,0,,False,False,alive
t2,dwell_block8,dwell,8,blank block 8,"gru,lstm",2,2,0,0,,0,,0,,False,False,alive
s2,dwell_block8,dwell,8,blank block 8,lstm,1,1,0,0,,0,,0,,False,False,alive
s1,dwell_block32,dwell,32,blank block 32,"rnn,gru,lstm",3,3,0,0,,0,,0,,False,False,alive
t2,dwell_block32,dwell,32,blank block 32,"gru,lstm",2,2,0,0,,0,,0,,False,False,alive
