topology,model,model_label,condition_id,condition_axis,condition_value,condition_label,eligible_seed_count,finite_seed_count,error_median_radians,error_min_radians,error_max_radians,chance_ratio_median,id_error_ratio_median,status
s1,lstm,LSTM,length_h1024,length,1024,T=1024,3,3,0.19434189796447754,0.12846215069293976,0.27479347586631775,0.13092599338631222,5.597003919906082,transition
s1,calru,CA-LRU,length_h1024,length,1024,T=1024,3,3,0.2661153972148895,0.14320732653141022,0.29593682289123535,0.17927900828734783,4.0367178149507295,transition
t2,rnn,RNN,length_h1024,length,1024,T=1024,0,0,,,,,,ineligible_id
t2,gru,GRU,length_h1024,length,1024,T=1024,3,3,0.33119285106658936,0.2510043978691101,0.36909642815589905,0.2047323756424031,5.6446769065963815,transition
t2,lstm,LSTM,length_h1024,length,1024,T=1024,3,3,0.3404354453086853,0.2006334513425827,0.406097412109375,0.21044583917336152,5.023470398089316,transition
t2,calru,CA-LRU,length_h1024,length,1024,T=1024,3,3,0.13218219578266144,0.1055334061384201,0.38420435786247253,0.08171062531410878,6.35039678807523,transition
s2,rnn,RNN,length_h1024,length,1024,T=1024,0,0,,,,,,ineligible_id
s2,gru,GRU,length_h1024,length,1024,T=1024,0,0,,,,,,ineligible_id
s2,lstm,LSTM,length_h1024,length,1024,T=1024,3,3,0.28085118532180786,0.2410435974597931,0.30216118693351746,0.18658815596499861,3.852709077885633,alive
s2,calru,CA-LRU,length_h1024,length,1024,T=1024,1,1,1.0596299171447754,1.0596299171447754,1.0596299171447754,0.703982758765432,10.39496917274911,severely_degraded
s1,rnn,RNN,length_h1536,length,1536,T=1536,1,1,1.324638843536377,1.324638843536377,1.324638843536377,0.8752750625113428,11.676975953142353,chance_collapsed
s1,gru,GRU,length_h1536,length,1536,T=1536,3,3,0.2873688340187073,0.1391497254371643,0.42633476853370667,0.18988328432830553,7.1194634024064785,transition
s1,lstm,LSTM,length_h1536,length,1536,T=1536,3,3,0.27803391218185425,0.18044596910476685,0.4081083834171295,0.18371509415771006,7.861901664909139,transition
s1,calru,CA-LRU,length_h1536,length,1536,T=1536,3,3,0.39229685068130493,0.2551346719264984,0.5359736680984497,0.25921605136264647,6.691488471099333,transition
t2,rnn,RNN,length_h1536,length,1536,T=1536,0,0,,,,,,ineligible_id
t2,gru,GRU,length_h1536,length,1536,T=1536,3,3,0.46504873037338257,0.3150874376296997,0.5390363931655884,0.28332404924657273,7.926046170159663,transition
t2,lstm,LSTM,length_h1536,length,1536,T=1536,3,3,0.49723488092422485,0.2887688875198364,0.5872142314910889,0.3029329846293289,7.337205157810232,transition
t2,calru,CA-LRU,length_h1536,length,1536,T=1536,3,3,0.22803941369056702,0.149593323469162,0.565503716468811,0.1389296343691808,10.955641580022009,severely_degraded
s2,rnn,RNN,length_h1536,length,1536,T=1536,0,0,,,,,,ineligible_id
s2,gru,GRU,length_h1536,length,1536,T=1536,0,0,,,,,,ineligible_id
s2,lstm,LSTM,length_h1536,length,1536,T=1536,3,3,0.3548552989959717,0.2937741279602051,0.3802850544452667,0.23235248202371028,4.848828191053783,transition
s2,calru,CA-LRU,length_h1536,length,1536,T=1536,1,1,1.2481846809387207,1.2481846809387207,1.2481846809387207,0.8172875238460986,12.244691349614808,chance_collapsed
