model,topology,seed,task,blank2048,tangent_error,normal_gain,gap,recovery,shape,topology_h2048_match,checkpoint,cell_id
gru,s1,10,0.02592362090945244,0.6896182894706726,0.30297499895095825,1.175170660018921,-0.47814565896987915,0.15945389866828918,0.8160079717636108,True,,
gru,s1,11,0.0301333237439394,0.897725522518158,0.2999389171600342,1.1669821739196777,-0.4669210910797119,0.13639359176158905,0.8295110464096069,True,,
gru,s1,12,0.016762591898441315,0.3156591057777405,0.3239648938179016,1.1977710723876953,-0.5217359662055969,0.2498723864555359,0.7601539492607117,True,,
gru,s2,10,0.09031513333320618,0.8777762651443481,0.1919606328010559,1.2154868841171265,-0.4074475169181824,0.41497817635536194,0.948392927646637,False,,
gru,s2,11,1.0580265522003174,1.668954849243164,0.1415116786956787,1.0962661504745483,-0.23777782917022705,0.04713562875986099,0.9615854024887085,False,,
gru,s2,12,1.1638051271438599,1.638456106185913,0.22908061742782593,1.0570566654205322,-0.28613728284835815,0.005593317095190287,5.357961654663086,False,,
gru,t2,10,0.038892343640327454,0.8454425930976868,0.11992228031158447,1.1899943351745605,-0.309916615486145,0.484855055809021,0.5293356776237488,False,,
gru,t2,11,0.03418583795428276,0.6341602802276611,0.12033456563949585,1.1751635074615479,-0.2954980731010437,0.5947815775871277,0.7236972451210022,False,,
gru,t2,12,0.03783649578690529,0.7905378341674805,0.11215579509735107,1.1755588054656982,-0.2877146005630493,0.56633061170578,0.7080656290054321,False,,
lstm,s1,10,0.013811838813126087,0.459777295589447,0.40165573358535767,1.4906278848648071,-0.8922836184501648,0.23480810225009918,1.011110544204712,True,,
lstm,s1,11,0.02292712591588497,0.6096966862678528,0.38206326961517334,1.4609746932983398,-0.8430379629135132,0.528698205947876,0.6119933724403381,True,,
lstm,s1,12,0.01785704493522644,0.40387237071990967,0.37625300884246826,1.4061763286590576,-0.7824293375015259,0.3442728519439697,0.9129927754402161,True,,
lstm,s2,10,0.04734647274017334,1.089925765991211,0.22154384851455688,1.6251455545425415,-0.8466894030570984,0.25909852981567383,2.47799015045166,False,,
lstm,s2,11,0.05213846638798714,1.1285858154296875,0.21142709255218506,1.6313244104385376,-0.8427515029907227,0.38848772644996643,1.5044187307357788,False,,
lstm,s2,12,0.04073190689086914,0.8462074995040894,0.2414233684539795,1.5917471647262573,-0.8331705331802368,0.44509783387184143,0.7249859571456909,False,,
lstm,t2,10,0.03607459366321564,0.8992913961410522,0.12524139881134033,1.5120651721954346,-0.6373065710067749,0.35636433959007263,0.8847827315330505,False,,
lstm,t2,11,0.040029965341091156,0.7729083895683289,0.12508797645568848,1.4674071073532104,-0.5924950838088989,0.3795991837978363,1.067610263824463,False,,
lstm,t2,12,0.03041224181652069,0.7996145486831665,0.11519968509674072,1.433351755142212,-0.5485514402389526,0.6606339812278748,0.6655475497245789,False,,
rnn,s1,10,0.3037327527999878,1.0721204280853271,0.09526878595352173,1.0987471342086792,-0.19401592016220093,0.0,4.116832733154297,False,,
rnn,s1,11,0.07599958777427673,0.7675503492355347,0.041999101638793945,1.1935222148895264,-0.2355213165283203,0.022395798936486244,4.263513565063477,False,,
rnn,s1,12,0.06273311376571655,0.6667269468307495,0.0432780385017395,1.1888370513916016,-0.23211508989334106,0.038208574056625366,2.434433698654175,False,,
rnn,s2,10,0.9638329744338989,1.3879461288452148,0.039565980434417725,1.1577675342559814,-0.19733351469039917,0.3017539978027344,0.7127953767776489,False,,
rnn,s2,11,1.0640788078308105,1.4831041097640991,0.05149245262145996,1.0889208316802979,-0.1404132843017578,0.0,6.074453353881836,False,,
rnn,s2,12,1.28279447555542,1.449311375617981,0.0676698088645935,1.0670777559280396,-0.13474756479263306,0.0,6.503695011138916,False,,
rnn,t2,10,0.2113821804523468,1.1333949565887451,0.06396383047103882,1.2124398946762085,-0.2764037251472473,0.5213071703910828,0.7142341136932373,False,,
rnn,t2,11,0.1240655779838562,1.8362051248550415,0.062389492988586426,1.2196824550628662,-0.28207194805145264,0.6093220710754395,0.6457784175872803,False,,
rnn,t2,12,0.3260771632194519,1.2872227430343628,0.057037532329559326,1.1779274940490723,-0.2349650263786316,0.3834298551082611,0.7052987217903137,False,,
split,s1,10,0.012257939204573631,0.26996925473213196,0.1828950047492981,1.0114892721176147,-0.19438427686691284,0.052352175116539,0.856534481048584,False,/home/biadmin/ca_rnn/experiments/static_gate_split_refinement_rp_v3/rp__split_rnn_rp__s1__s1_p1_eta0p1_signed__seed10/checkpoint.pt,
split,t2,10,0.03179625794291496,0.641682505607605,0.19009661674499512,1.0202538967132568,-0.21035051345825195,0.6102539300918579,0.5581895709037781,False,/home/biadmin/ca_rnn/experiments/static_gate_split_refinement_rp_v3/rp__split_rnn_rp__t2__t2_p0_eta1_signed__seed10/checkpoint.pt,
split,s2,10,0.08978325873613358,0.7703655958175659,0.39030611515045166,1.0637233257293701,-0.4540294408798218,0.1603909432888031,1.7084381580352783,False,/home/biadmin/ca_rnn/experiments/static_gate_split_refinement_rp_v3/rp__split_rnn_rp__s2__s2_p1_eta0p1_positive__seed10/checkpoint.pt,
split,s1,11,0.03554554283618927,0.7898367643356323,0.18421489000320435,1.014501690864563,-0.19871658086776733,0.13191981613636017,1.1332277059555054,False,/home/biadmin/ca_rnn/experiments/static_gate_split_refinement_final_seeds_v3/final/rp__split_rnn_rp__s1__final_eta0p1_signed__seed11/checkpoint.pt,
split,s1,12,0.01667233183979988,0.06460803747177124,0.1755826473236084,1.0154428482055664,-0.1910254955291748,0.11809992045164108,0.8647301197052002,False,/home/biadmin/ca_rnn/experiments/static_gate_split_refinement_final_seeds_v3/final/rp__split_rnn_rp__s1__final_eta0p1_signed__seed12/checkpoint.pt,
split,s2,11,0.08552855253219604,0.7549901008605957,0.3984350562095642,1.0645185708999634,-0.4629536271095276,0.06550640612840652,2.7355172634124756,False,/home/biadmin/ca_rnn/experiments/static_gate_split_refinement_final_seeds_v3/final/rp__split_rnn_rp__s2__final_eta0p1_positive__seed11/checkpoint.pt,
split,s2,12,0.09520049393177032,1.1611151695251465,0.38691574335098267,1.0693340301513672,-0.45624977350234985,0.08231523633003235,2.946699619293213,False,/home/biadmin/ca_rnn/experiments/static_gate_split_refinement_final_seeds_v3/final/rp__split_rnn_rp__s2__final_eta0p1_positive__seed12/checkpoint.pt,
