topology,model,task,blank2048,tangent_error,normal_gain,gap,recovery,shape,topology_h2048_match
s1,rnn,0.07599958777427673,0.7675503492355347,0.0432780385017395,1.1888370513916016,-0.23211508989334106,0.022395798936486244,4.116832733154297,0.0
s1,gru,0.02592362090945244,0.6896182894706726,0.30297499895095825,1.175170660018921,-0.47814565896987915,0.15945389866828918,0.8160079717636108,1.0
s1,lstm,0.01785704493522644,0.459777295589447,0.38206326961517334,1.4609746932983398,-0.8430379629135132,0.3442728519439697,0.9129927754402161,1.0
s1,calru,0.01350158266723156,0.024781960994005203,0.013052046298980713,1.0000027418136597,-0.013055145740509033,0.9999983906745911,0.0869879350066185,0.0
s1,split,0.01667233183979988,0.26996925473213196,0.1828950047492981,1.014501690864563,-0.19438427686691284,0.11809992045164108,0.8647301197052002,0.0
t2,rnn,0.2113821804523468,1.2872227430343628,0.062389492988586426,1.2124398946762085,-0.2764037251472473,0.5213071703910828,0.7052987217903137,0.0
t2,gru,0.03783649578690529,0.7905378341674805,0.11992228031158447,1.1755588054656982,-0.2954980731010437,0.56633061170578,0.7080656290054321,0.0
t2,lstm,0.03607459366321564,0.7996145486831665,0.12508797645568848,1.4674071073532104,-0.5924950838088989,0.3795991837978363,0.8847827315330505,0.0
t2,calru,0.027543356642127037,0.04318789392709732,0.007721662521362305,1.0000016689300537,-0.0077239274978637695,1.0000003576278687,0.010453710332512856,0.0
t2,split,0.03179625794291496,0.5559866428375244,0.18901950120925903,1.021517276763916,-0.21035051345825195,0.5416440963745117,0.5581895709037781,0.0
s2,rnn,1.0640788078308105,1.449311375617981,0.05149245262145996,1.0889208316802979,-0.1404132843017578,0.0,6.074453353881836,0.0
s2,gru,1.0580265522003174,1.638456106185913,0.1919606328010559,1.0962661504745483,-0.28613728284835815,0.04713562875986099,0.9615854024887085,0.0
s2,lstm,0.04734647274017334,1.089925765991211,0.22154384851455688,1.6251455545425415,-0.8427515029907227,0.38848772644996643,1.5044187307357788,0.0
s2,calru,0.06831176578998566,0.10914497077465057,0.009928345680236816,1.0000019073486328,-0.009929299354553223,0.9999991655349731,0.016710005700588226,0.0
s2,split,0.08978325873613358,0.7703655958175659,0.39030611515045166,1.0645185708999634,-0.45624977350234985,0.08231523633003235,2.7355172634124756,0.0
