all_finite,anchors,job_id,model,one_step_normal_to_tangent_leakage_mean,one_step_sampled_normal_gain_mean,one_step_sampled_normal_residual_gain_mean,one_step_tangent_anisotropy_median,one_step_tangent_gain_mean,one_step_tangent_gain_min_median,one_step_tangent_to_normal_leakage_mean,seed,state_scale,topology,selection_regime,source_analysis
True,128,pilot__gru__s1__seed10,gru,0.08084877580404282,0.5140068531036377,0.5114118456840515,1.0,0.992585301399231,0.9917941689491272,0.056768760085105896,10,2.4168295860290527,s1,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__gru__s1__seed11,gru,0.07667678594589233,0.5191044807434082,0.5166734457015991,1.0,0.99211585521698,0.9919331073760986,0.05638756603002548,11,2.44998836517334,s1,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__gru__s1__seed12,gru,0.08166977018117905,0.5157490968704224,0.5130317807197571,1.0,0.9892948269844055,0.9889508485794067,0.05432058870792389,12,2.417835235595703,s1,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__gru__s2__seed10,gru,0.14299282431602478,0.5040106773376465,0.49738216400146484,1.0122852325439453,1.0152255296707153,1.009647250175476,0.0567064993083477,10,3.242785692214966,s2,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__gru__s2__seed11,gru,0.10866767168045044,0.5620870590209961,0.5574411153793335,1.1456855535507202,0.8678485155105591,0.8599060773849487,0.3150002956390381,11,0.20183420181274414,s2,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__gru__s2__seed12,gru,0.05491328239440918,0.6230013370513916,0.6213456392288208,1.005724549293518,0.9339814186096191,0.9889252781867981,0.1345725655555725,12,1.7141058444976807,s2,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__gru__t2__seed10,gru,0.12478475272655487,0.5065966844558716,0.501510739326477,1.0070263147354126,0.9999250173568726,0.9973000288009644,0.05478502810001373,10,3.111016035079956,t2,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__gru__t2__seed11,gru,0.12249462306499481,0.5091686248779297,0.5043217539787292,1.0079647302627563,0.9960827827453613,0.991780161857605,0.055231306701898575,11,3.202944040298462,t2,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__gru__t2__seed12,gru,0.11778426170349121,0.5102547407150269,0.5057277679443359,1.0091474056243896,0.9998267292976379,0.9966006875038147,0.05506015568971634,12,3.166224241256714,t2,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__lstm__s1__seed10,lstm,0.16298428177833557,0.47903239727020264,0.4686177670955658,1.0,0.9895802736282349,0.9907776117324829,0.07811490446329117,10,2.9122800827026367,s1,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__lstm__s1__seed11,lstm,0.16147953271865845,0.48331350088119507,0.47294846177101135,1.0,0.9931048154830933,0.9931948781013489,0.07473418116569519,11,3.1085896492004395,s1,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__lstm__s1__seed12,lstm,0.1520596295595169,0.47784173488616943,0.4689123332500458,1.0,0.9939057230949402,0.9932482242584229,0.08516967296600342,12,3.0732433795928955,s1,ring-selected zero-retuning,baseline_all_v2
True,128,pilot__lstm__s2__seed10,lstm,0.287658154964447,0.5036342144012451,0.4760422110557556,1.0064862966537476,1.0056734085083008,1.0025596618652344,0.029983194544911385,10,2.8005807399749756,s2,ring-selected zero-retuning,baseline_all_v2
