job_id,model,topology,seed,selection_regime,parameters_total,task_success,validation_nmse_db,test_error_normalized,test_error_rad,blank4096_error_normalized,blank4096_diverged,fiber_ratio,local_rank_full_fraction,far_collapse_fraction,endpoint_pca_participation_ratio,one_step_tangent_gain,one_step_normal_gain,topology_radial_hidden_q512,topology_radial_output_q512,topology_radial_same_memory_error512,finite128_tangent_gain_mean,finite128_normal_gain_mean,recovery_q512_median,same_memory_error512_mean
pilot__gru__s1__seed10,gru,s1,10,ring-selected zero-retuning,50818,True,-28.615108489990234,0.00842565018683672,0.026469960728683704,0.33382707834243774,False,0.23687850697743038,1.0,0.0,1.9867058203139871,0.992585301399231,0.5140068531036377,0.032326992601156235,0.0009034483227878809,0.002718660980463028,1.0547711849212646,0.1190817803144455,0.03130047768354416,0.0017974867951124907
pilot__gru__s1__seed11,gru,s1,11,ring-selected zero-retuning,50818,True,-27.363937377929688,0.009202404879033566,0.02891020756333072,0.4691162109375,False,0.23936270060168324,1.0,0.0,1.9834677057043921,0.99211585521698,0.5191044807434082,0.030357390642166138,0.0006919107399880886,0.002681393176317215,1.0436184406280518,0.11868704855442047,0.030878566205501556,0.001798419514670968
pilot__gru__s1__seed12,gru,s1,12,ring-selected zero-retuning,50818,True,-31.131994247436523,0.005637266207486391,0.01770999410376924,0.14589998126029968,False,0.24228321335624203,1.0,0.0,2.0067597530579344,0.9892948269844055,0.5157490968704224,0.028271004557609558,0.0006725013954564929,0.0038263110909610987,1.0252515077590942,0.1250409036874771,0.029402729123830795,0.0019487382378429174
pilot__lstm__s1__seed10,lstm,s1,10,ring-selected zero-retuning,17538,True,-33.77628707885742,0.004610184580087662,0.014483322008496344,0.20171017944812775,False,0.17132493580131114,1.0,0.0,2.154886097197071,0.9895802736282349,0.47903239727020264,0.029995091259479523,0.000331991002894938,0.002238520188257098,1.0067883729934692,0.09251214563846588,0.027650685980916023,0.0013900098856538534
pilot__lstm__s1__seed11,lstm,s1,11,ring-selected zero-retuning,17538,True,-30.573257446289062,0.006380063481628895,0.020043560563321853,0.3621865510940552,False,0.17296657820259562,1.0,0.0,2.1803536020153222,0.9931048154830933,0.48331350088119507,0.029799435287714005,0.0004277224070392549,0.0029980740509927273,1.0216368436813354,0.0919303297996521,0.02809887006878853,0.0013382910983636975
pilot__lstm__s1__seed12,lstm,s1,12,ring-selected zero-retuning,17538,True,-30.938514709472656,0.006269797682762146,0.019697150339659866,0.19528129696846008,False,0.17013444710591544,1.0,0.0,2.1446619842414143,0.9939057230949402,0.47784173488616943,0.027699150145053864,0.0002934068033937365,0.0020134428050369024,1.0227729082107544,0.08798452466726303,0.026203151792287827,0.0012966763461008668
pilot__rnn__s1__seed10,rnn,s1,10,ring-selected zero-retuning,17154,False,-7.195161819458008,0.10433018207550049,0.32776293355607783,0.3578342795372009,False,0.11213812113754053,1.0,0.0,1.006575128682141,0.9909515380859375,0.9024160504341125,0.0,0.001045483979396522,0.02602236531674862,1.393634557723999,0.22973427176475525,0.0,0.02091824635863304
pilot__rnn__s1__seed11,rnn,s1,11,ring-selected zero-retuning,17154,False,-18.15049934387207,0.026737049221992493,0.08399691741448032,0.2781677842140198,False,0.659858276264693,1.0,0.0,2.164557986749758,1.0008624792099,0.895153820514679,0.026026757434010506,0.0004907312104478478,0.005307585000991821,1.7209333181381226,0.367965430021286,0.026033369824290276,0.0032808349933475256
pilot__rnn__s1__seed12,rnn,s1,12,ring-selected zero-retuning,17154,True,-20.26536750793457,0.021273290738463402,0.06683201390163641,0.29389625787734985,False,0.676656800055403,1.0,0.0,2.201905914160532,1.0032484531402588,0.8943607807159424,0.02999812737107277,0.0020235576666891575,0.008442101068794727,1.620668649673462,0.381419837474823,0.02739160880446434,0.0031377056147903204
pilot__gru__s2__seed10,gru,s2,10,ring-selected zero-retuning,51843,False,-18.78776741027832,0.02776089310646057,0.08721341784034806,0.3299750089645386,False,0.43020297471863217,1.0,0.0,3.018364436185441,1.0152255296707153,0.5040106773376465,0.20030811429023743,0.001913808286190033,0.0043538594618439674,1.1252171993255615,0.22149667143821716,0.16172486543655396,0.003348587080836296
