causal_state_norm_mean,causal_state_norm_ratio_to_h0,clean_output_displacement_mean,diverged,finite,horizon,job_id,memory_error_mean,memory_error_median,model,output_norm_error_mean,seed,topology,task_success,selection_regime,source_analysis
2.61112904548645,1.0,0.0,False,True,0,pilot__gru__s1__seed10,0.012848205864429474,0.011223670095205307,gru,0.012681287713348866,10,s1,True,ring-selected zero-retuning,baseline_all_v2
2.557035207748413,0.9812843799591064,0.004229342099279165,False,True,16,pilot__gru__s1__seed10,0.014330479316413403,0.011427436955273151,gru,0.011518958956003189,10,s1,True,ring-selected zero-retuning,baseline_all_v2
2.585543632507324,0.9919965267181396,0.015387214720249176,False,True,128,pilot__gru__s1__seed10,0.023523865267634392,0.019795861095190048,gru,0.01350701879709959,10,s1,True,ring-selected zero-retuning,baseline_all_v2
2.6097002029418945,1.0013011693954468,0.05976320803165436,False,True,512,pilot__gru__s1__seed10,0.06584368646144867,0.060716282576322556,gru,0.014930972829461098,10,s1,True,ring-selected zero-retuning,baseline_all_v2
2.67533278465271,1.0269641876220703,0.2121874988079071,False,True,2048,pilot__gru__s1__seed10,0.21796345710754395,0.1967291682958603,gru,0.01809653267264366,10,s1,True,ring-selected zero-retuning,baseline_all_v2
2.691107749938965,1.0332581996917725,0.3280673623085022,False,True,4096,pilot__gru__s1__seed10,0.33382707834243774,0.31899493932724,gru,0.01810084655880928,10,s1,True,ring-selected zero-retuning,baseline_all_v2
2.626837968826294,1.0,0.0,False,True,0,pilot__gru__s1__seed11,0.016336694359779358,0.01637856476008892,gru,0.011141023598611355,11,s1,True,ring-selected zero-retuning,baseline_all_v2
2.5772643089294434,0.982917308807373,0.004474741872400045,False,True,16,pilot__gru__s1__seed11,0.018814781680703163,0.018148722127079964,gru,0.01001708209514618,11,s1,True,ring-selected zero-retuning,baseline_all_v2
2.595691680908203,0.9897921085357666,0.019491739571094513,False,True,128,pilot__gru__s1__seed11,0.03171011805534363,0.030144430696964264,gru,0.008478489704430103,11,s1,True,ring-selected zero-retuning,baseline_all_v2
2.5859169960021973,0.9862735271453857,0.07578280568122864,False,True,512,pilot__gru__s1__seed11,0.08615502715110779,0.09169786423444748,gru,0.009466075338423252,11,s1,True,ring-selected zero-retuning,baseline_all_v2
2.580580711364746,0.9858754277229309,0.26941290497779846,False,True,2048,pilot__gru__s1__seed11,0.27912843227386475,0.31029313802719116,gru,0.01066216453909874,11,s1,True,ring-selected zero-retuning,baseline_all_v2
