all_finite,anchors,hidden_recovery_q512_median,job_id,kick_radius_relative,model,output_radial_recovery_q512_median,same_memory_error512_mean,seed,signed_kick_directions,state_scale,topology,topology_radial_dimensions,selection_regime,source_analysis
True,128,0.44393521547317505,broad__calru__t2__lr0p01_eta1000_i50__seed10,0.05,calru,0.20471416413784027,0.0005034107016399503,10,4,1.6883796453475952,t2,2,topology-specific validation-selected,selected_hparam_v1
True,128,0.4050709009170532,refine__calru__s1__lr0p01_eta1000_i50__seed11,0.05,calru,0.13917744159698486,0.0004780222079716623,11,2,0.8103320002555847,s1,1,topology-specific validation-selected,selected_hparam_v1
True,128,0.4721391201019287,refine__calru__s1__lr0p01_eta1000_i50__seed12,0.05,calru,0.21655412018299103,0.0009341027471236885,12,2,1.431349277496338,s1,1,topology-specific validation-selected,selected_hparam_v1
True,128,0.352689266204834,refine__calru__s2__lr0p003_eta1000_i50__seed11,0.05,calru,0.13403494656085968,0.002167660742998123,11,2,0.8738731145858765,s2,1,topology-specific validation-selected,selected_hparam_v1
True,128,0.7430312633514404,refine__calru__s2__lr0p003_eta1000_i50__seed12,0.05,calru,0.5735874772071838,0.0022450927644968033,12,2,0.7242127060890198,s2,1,topology-specific validation-selected,selected_hparam_v1
True,128,0.38797882199287415,refine__calru__t2__lr0p01_eta1000_i50__seed11,0.05,calru,0.18542368710041046,0.0004878806066699326,11,4,1.807469129562378,t2,2,topology-specific validation-selected,selected_hparam_v1
True,128,0.585192084312439,refine__calru__t2__lr0p01_eta1000_i50__seed12,0.05,calru,0.35942313075065613,0.000576111429836601,12,4,1.91557776927948,t2,2,topology-specific validation-selected,selected_hparam_v1
True,128,0.08229564875364304,refine__hc__s1__lr0p003_a0p05_b0p1_eta300_i100__seed10,0.05,hc,0.0012815010268241167,0.002311708638444543,10,2,1.8341530561447144,s1,1,topology-specific validation-selected,selected_hparam_v1
True,128,0.11999589949846268,refine__hc__s2__lr0p003_a0p05_bm0p3_eta1000_i50__seed10,0.05,hc,0.0076722390949726105,0.0018960103625431657,10,2,2.441373348236084,s2,1,topology-specific validation-selected,selected_hparam_v1
True,128,0.4243333339691162,refine__hc__t2__lr0p003_a0p025_bm0p1_eta300_i100__seed10,0.05,hc,0.02720208838582039,0.0036501572467386723,10,4,2.4031710624694824,t2,2,topology-specific validation-selected,selected_hparam_v1
True,128,0.5347381830215454,robust__hc__s1__finalist2_lr0p003_a0p05_b0p1_eta300_i100__seed11,0.05,hc,0.04789632931351662,0.005507522262632847,11,2,1.8343888521194458,s1,1,topology-specific validation-selected,selected_hparam_v1
True,128,0.12446050345897675,robust__hc__s1__finalist2_lr0p003_a0p05_b0p1_eta300_i100__seed12,0.05,hc,0.007981371134519577,0.0021120011806488037,12,2,1.963688850402832,s1,1,topology-specific validation-selected,selected_hparam_v1
True,128,0.3542073965072632,robust__hc__s2__finalist2_lr0p003_a0p05_bm0p3_eta1000_i50__seed11,0.05,hc,0.0316707007586956,0.005096948705613613,11,2,2.370203971862793,s2,1,topology-specific validation-selected,selected_hparam_v1
True,128,0.12977859377861023,robust__hc__s2__finalist2_lr0p003_a0p05_bm0p3_eta1000_i50__seed12,0.05,hc,0.00794324278831482,0.0020752078853547573,12,2,2.4866080284118652,s2,1,topology-specific validation-selected,selected_hparam_v1
True,128,0.5314884185791016,robust__hc__t2__finalist2_lr0p003_a0p025_bm0p1_eta300_i100__seed11,0.05,hc,0.04522585868835449,0.004377736710011959,11,4,2.5617544651031494,t2,2,topology-specific validation-selected,selected_hparam_v1
True,128,0.8956471681594849,robust__hc__t2__finalist2_lr0p003_a0p025_bm0p1_eta300_i100__seed12,0.05,hc,0.21571356058120728,0.012655625119805336,12,4,2.2274210453033447,t2,2,topology-specific validation-selected,selected_hparam_v1
