atlas_points,between_anchor_separation,closed_path_decoding_error_mean,endpoint_decoding_error_mean,far_latent_hidden_collapse_fraction,fiber_ratio,job_id,knn_overlap,latent_hidden_distance_spearman,local_sigma_min_median,local_tangent_condition_median,local_tangent_rank_full_fraction,local_tangent_rank_mean,model,same_memory_within_dispersion,seed,topology,selection_regime,source_analysis
256,3.3917709715612876,0.009791947901248932,0.008234666660428047,0.0,0.23687850697743038,pilot__gru__s1__seed10,1.0,0.9833874558266601,2.4742085931726394,1.0,1.0,1.0,gru,0.8034376437528262,10,s1,ring-selected zero-retuning,baseline_all_v2
256,3.3837652933399984,0.012733417563140392,0.004657551646232605,0.0,0.23936270060168324,pilot__gru__s1__seed11,0.999609375,0.9818748544222812,2.474931213988332,1.0,1.0,1.0,gru,0.8099471988161089,11,s1,ring-selected zero-retuning,baseline_all_v2
256,3.3029399193469056,0.009635090827941895,0.0037293056957423687,0.0,0.24228321335624203,pilot__gru__s1__seed12,1.0,0.9895037748896343,2.4413511153399123,1.0,1.0,1.0,gru,0.8002468971819752,12,s1,ring-selected zero-retuning,baseline_all_v2
256,4.3229793014238975,0.05376492440700531,0.08644504100084305,0.0,0.43020297471863217,pilot__gru__s2__seed10,0.8441406250000001,0.920316442926812,2.7709449448511707,1.4220032513636953,1.0,2.0,gru,1.8597585551196352,10,s2,ring-selected zero-retuning,baseline_all_v2
256,2.2174590542050394,0.41365522146224976,0.5224515199661255,0.0004901960784313725,1.2158969236678276,pilot__gru__s2__seed11,0.24453125000000003,0.28648194168926655,0.013172750618439345,33.21938762660972,0.98046875,1.98046875,gru,2.6962016423672783,11,s2,ring-selected zero-retuning,baseline_all_v2
256,4.688308022333239,0.32499170303344727,0.41692450642585754,0.00024509803921568627,0.5381564895664606,pilot__gru__s2__seed12,0.40234375,0.3205022814009412,0.039771021844102195,11.191852505478083,0.9921875,1.9921875,gru,2.5230433873051314,12,s2,ring-selected zero-retuning,baseline_all_v2
256,4.2393922878523025,0.018513213843107224,0.04455326497554779,0.0,0.25240557367817784,pilot__gru__t2__seed10,0.8226562500000001,0.9535888182293447,2.0587217205324198,1.131031282107917,1.0,2.0,gru,1.0700462424622033,10,t2,ring-selected zero-retuning,baseline_all_v2
256,4.28952590181814,0.016828758642077446,0.031871046870946884,0.0,0.2610592403397759,pilot__gru__t2__seed11,0.8652343750000002,0.9481842404657902,2.107533462027131,1.126155506600729,1.0,2.0,gru,1.1198203733464358,11,t2,ring-selected zero-retuning,baseline_all_v2
256,4.333055295754425,0.016457967460155487,0.036229223012924194,0.0,0.25658662823640993,pilot__gru__t2__seed12,0.8300781250000002,0.9528311994416525,2.1347285061902443,1.1193853359950208,1.0,2.0,gru,1.111804048299548,12,t2,ring-selected zero-retuning,baseline_all_v2
256,4.092486081438281,0.008873358368873596,0.006418469827622175,0.0,0.17132493580131114,pilot__lstm__s1__seed10,0.999609375,0.992986678529063,3.0842352971701144,1.0,1.0,1.0,lstm,0.7011449151701729,10,s1,ring-selected zero-retuning,baseline_all_v2
256,4.447406942142835,0.00665301363915205,0.007403865456581116,0.0,0.17296657820259562,pilot__lstm__s1__seed11,0.999609375,0.9889201758813241,3.2722552906631592,1.0,1.0,1.0,lstm,0.7692527606569153,11,s1,ring-selected zero-retuning,baseline_all_v2
256,4.370828218395063,0.00890134647488594,0.006651516072452068,0.0,0.17013444710591544,pilot__lstm__s1__seed12,1.0,0.9944155863244027,3.2513328997476294,1.0,1.0,1.0,lstm,0.7436284423315775,12,s1,ring-selected zero-retuning,baseline_all_v2
256,4.002450197679823,0.02199096977710724,0.03208690136671066,0.0,0.26716005643762897,pilot__lstm__s2__seed10,0.9089843750000002,0.9835612762049788,2.6818333355393023,1.2227635892418065,1.0,2.0,lstm,1.0692948207009407,10,s2,ring-selected zero-retuning,baseline_all_v2
256,4.1149458323499495,0.02323446422815323,0.04996799677610397,0.0,0.2701814048869624,pilot__lstm__s2__seed11,0.9113281250000002,0.9847108357924818,2.7541196377948003,1.2146803099181356,1.0,2.0,lstm,1.1117818460180602,11,s2,ring-selected zero-retuning,baseline_all_v2
256,3.932043737059941,0.02218010276556015,0.03497976437211037,0.0,0.2682251777880698,pilot__lstm__s2__seed12,0.9203125000000001,0.9872043567726043,2.6760333640035907,1.1776467915959175,1.0,2.0,lstm,1.054673130443369,12,s2,ring-selected zero-retuning,baseline_all_v2
256,4.077788811292793,0.01761731132864952,0.02621231973171234,0.0,0.2085399817455668,pilot__lstm__t2__seed10,0.8425781250000002,0.9538541556007759,1.9649240726917645,1.1405710130131985,1.0,2.0,lstm,0.8503820042692756,10,t2,ring-selected zero-retuning,baseline_all_v2
256,3.9081390503081828,0.01688464730978012,0.02359911985695362,0.0,0.2111694430900272,pilot__lstm__t2__seed11,0.8570312500000002,0.9522096442829774,1.9207632088596076,1.130085373142748,1.0,2.0,lstm,0.8252795467719667,11,t2,ring-selected zero-retuning,baseline_all_v2
256,3.987829481034365,0.016060175374150276,0.01827758550643921,0.0,0.20852095077251112,pilot__lstm__t2__seed12,0.8390625000000003,0.952972504433582,1.9177370758418832,1.148897467198854,1.0,2.0,lstm,0.8315459949039353,12,t2,ring-selected zero-retuning,baseline_all_v2
256,10.729705219113864,0.1268291175365448,0.4207668900489807,0.0,0.11213812113754053,pilot__rnn__s1__seed10,0.830078125,0.6342286915928622,0.5497130842904915,1.0,1.0,1.0,rnn,1.2032089836310913,10,s1,ring-selected zero-retuning,baseline_all_v2
256,4.21993114324666,0.039215803146362305,0.10153448581695557,0.0,0.659858276264693,pilot__rnn__s1__seed11,0.9578125000000002,0.9386907166738337,3.231183476511809,1.0,1.0,1.0,rnn,2.784556490138436,11,s1,ring-selected zero-retuning,baseline_all_v2
