job_id,model,topology,seed,completed,task_success,parameters_total,validation_nmse_db,validation_error,validation_hold_error,test_mean_error,test_terminal_error,test_trial_median,test_trial_p90,test_trial_p95,test_trial_p99,test_output_norm_error,test_hold_error,test_hold_relative_improvement,test_worst_coordinate_error,finite,selection_regime,source_analysis
pilot__gru__s1__seed10,gru,s1,10,True,True,50818,-28.615108489990234,0.008078450337052345,0.4132813811302185,0.00842565018683672,0.013701936230063438,0.007710665464401245,0.013302965089678764,0.01557790394872427,0.023780880495905876,0.012529141269624233,0.40762069821357727,0.9793296456336975,,True,ring-selected zero-retuning,baseline_all_v2
pilot__gru__s1__seed11,gru,s1,11,True,True,50818,-27.363937377929688,0.009212035685777664,0.4132813811302185,0.009202404879033566,0.01673947647213936,0.008336421102285385,0.014777446165680885,0.017118161544203758,0.028427477926015854,0.011628605425357819,0.40762069821357727,0.977424144744873,,True,ring-selected zero-retuning,baseline_all_v2
pilot__gru__s1__seed12,gru,s1,12,True,True,50818,-31.131994247436523,0.0054211486130952835,0.4132813811302185,0.005637266207486391,0.008091283962130547,0.004757148213684559,0.009017999283969402,0.011992673389613628,0.02232944592833519,0.008889161050319672,0.40762069821357727,0.9861703515052795,,True,ring-selected zero-retuning,baseline_all_v2
pilot__lstm__s1__seed10,lstm,s1,10,True,True,17538,-33.77628707885742,0.0044144196435809135,0.4132813811302185,0.004610184580087662,0.007620746735483408,0.003730527590960264,0.008756561204791069,0.011128995567560196,0.017217829823493958,0.004642990883439779,0.40762069821357727,0.9886900186538696,,True,ring-selected zero-retuning,baseline_all_v2
pilot__lstm__s1__seed11,lstm,s1,11,True,True,17538,-30.573257446289062,0.006108873523771763,0.4132813811302185,0.006380063481628895,0.011745354160666466,0.005075907334685326,0.01251851674169302,0.015159505419433117,0.025890083983540535,0.00558551587164402,0.40762069821357727,0.9843480587005615,,True,ring-selected zero-retuning,baseline_all_v2
pilot__lstm__s1__seed12,lstm,s1,12,True,True,17538,-30.938514709472656,0.006406877189874649,0.4132813811302185,0.006269797682762146,0.01155116781592369,0.0052232868038117886,0.011723951436579227,0.014571295119822025,0.019284000620245934,0.005354436580091715,0.40762069821357727,0.984618604183197,,True,ring-selected zero-retuning,baseline_all_v2
pilot__rnn__s1__seed10,rnn,s1,10,True,False,17154,-7.195161819458008,0.0997006818652153,0.4132813811302185,0.10433018207550049,0.20814736187458038,0.04841382056474686,0.3109701871871948,0.37663549184799194,0.5054875016212463,0.21790973842144012,0.40762069821357727,0.7440508008003235,,True,ring-selected zero-retuning,baseline_all_v2
pilot__rnn__s1__seed11,rnn,s1,11,True,False,17154,-18.15049934387207,0.025653602555394173,0.4132813811302185,0.026737049221992493,0.04669927433133125,0.021344933658838272,0.044642385095357895,0.05729632452130318,0.139559805393219,0.036559730768203735,0.40762069821357727,0.9344069957733154,,True,ring-selected zero-retuning,baseline_all_v2
pilot__rnn__s1__seed12,rnn,s1,12,True,True,17154,-20.26536750793457,0.02054002322256565,0.4132813811302185,0.021273290738463402,0.037305545061826706,0.016995377838611603,0.03674611076712608,0.044735413044691086,0.09231330454349518,0.024486958980560303,0.40762069821357727,0.9478110671043396,,True,ring-selected zero-retuning,baseline_all_v2
pilot__gru__s2__seed10,gru,s2,10,True,False,51843,-18.78776741027832,0.02658451721072197,0.4013522267341614,0.02776089310646057,0.039542850106954575,0.023753218352794647,0.04361697658896446,0.052898336201906204,0.07996011525392532,0.033776961266994476,0.3943699598312378,0.9296069741249084,,True,ring-selected zero-retuning,baseline_all_v2
