all_finite,anchors,job_id,model,one_step_normal_to_tangent_leakage_mean,one_step_sampled_normal_gain_mean,one_step_sampled_normal_residual_gain_mean,one_step_tangent_anisotropy_median,one_step_tangent_gain_mean,one_step_tangent_gain_min_median,one_step_tangent_to_normal_leakage_mean,seed,state_scale,topology
True,128,pilot__gru__s1__seed10,gru,0.08084877580404282,0.5140068531036377,0.5114118456840515,1.0,0.992585301399231,0.9917941689491272,0.056768760085105896,10,2.4168295860290527,s1
True,128,pilot__gru__s1__seed11,gru,0.07667678594589233,0.5191044807434082,0.5166734457015991,1.0,0.99211585521698,0.9919331073760986,0.05638756603002548,11,2.44998836517334,s1
True,128,pilot__gru__s1__seed12,gru,0.08166977018117905,0.5157490968704224,0.5130317807197571,1.0,0.9892948269844055,0.9889508485794067,0.05432058870792389,12,2.417835235595703,s1
True,128,pilot__gru__s2__seed10,gru,0.14299282431602478,0.5040106773376465,0.49738216400146484,1.0122852325439453,1.0152255296707153,1.009647250175476,0.0567064993083477,10,3.242785692214966,s2
True,128,pilot__gru__s2__seed11,gru,0.10866767168045044,0.5620870590209961,0.5574411153793335,1.1456855535507202,0.8678485155105591,0.8599060773849487,0.3150002956390381,11,0.20183420181274414,s2
True,128,pilot__gru__s2__seed12,gru,0.05491328239440918,0.6230013370513916,0.6213456392288208,1.005724549293518,0.9339814186096191,0.9889252781867981,0.1345725655555725,12,1.7141058444976807,s2
True,128,pilot__gru__t2__seed10,gru,0.12478475272655487,0.5065966844558716,0.501510739326477,1.0070263147354126,0.9999250173568726,0.9973000288009644,0.05478502810001373,10,3.111016035079956,t2
True,128,pilot__gru__t2__seed11,gru,0.12249462306499481,0.5091686248779297,0.5043217539787292,1.0079647302627563,0.9960827827453613,0.991780161857605,0.055231306701898575,11,3.202944040298462,t2
True,128,pilot__gru__t2__seed12,gru,0.11778426170349121,0.5102547407150269,0.5057277679443359,1.0091474056243896,0.9998267292976379,0.9966006875038147,0.05506015568971634,12,3.166224241256714,t2
True,128,pilot__lstm__s1__seed10,lstm,0.16298428177833557,0.47903239727020264,0.4686177670955658,1.0,0.9895802736282349,0.9907776117324829,0.07811490446329117,10,2.9122800827026367,s1
True,128,pilot__lstm__s1__seed11,lstm,0.16147953271865845,0.48331350088119507,0.47294846177101135,1.0,0.9931048154830933,0.9931948781013489,0.07473418116569519,11,3.1085896492004395,s1
True,128,pilot__lstm__s1__seed12,lstm,0.1520596295595169,0.47784173488616943,0.4689123332500458,1.0,0.9939057230949402,0.9932482242584229,0.08516967296600342,12,3.0732433795928955,s1
True,128,pilot__lstm__s2__seed10,lstm,0.287658154964447,0.5036342144012451,0.4760422110557556,1.0064862966537476,1.0056734085083008,1.0025596618652344,0.029983194544911385,10,2.8005807399749756,s2
True,128,pilot__lstm__s2__seed11,lstm,0.28695252537727356,0.502816915512085,0.4754520654678345,1.0052746534347534,1.0040674209594727,1.001077651977539,0.03133859485387802,11,2.9091384410858154,s2
True,128,pilot__lstm__s2__seed12,lstm,0.274255633354187,0.5025686025619507,0.47773414850234985,1.0067861080169678,1.0040661096572876,1.000537633895874,0.03167055547237396,12,2.777632474899292,s2
True,128,pilot__lstm__t2__seed10,lstm,0.22015990316867828,0.5127420425415039,0.49627625942230225,1.009801983833313,1.0021294355392456,0.9958587288856506,0.05435429513454437,10,2.8717901706695557,t2
True,128,pilot__lstm__t2__seed11,lstm,0.21414123475551605,0.5113639831542969,0.4961205720901489,1.0069974660873413,0.9983887672424316,0.9948368072509766,0.05137118697166443,11,2.7797203063964844,t2
True,128,pilot__lstm__t2__seed12,lstm,0.21918877959251404,0.5103460550308228,0.49435514211654663,1.0094802379608154,0.9990259408950806,0.9950380325317383,0.05989379435777664,12,2.816878080368042,t2
True,128,pilot__rnn__s1__seed10,rnn,0.020822782069444656,0.9024160504341125,0.9020428657531738,1.0,0.9909515380859375,1.0195069313049316,0.1423805207014084,10,10.125975608825684,s1
True,128,pilot__rnn__s1__seed11,rnn,0.02092757262289524,0.895153820514679,0.8948416709899902,1.0,1.0008624792099,1.0076520442962646,0.0968208834528923,11,3.0013723373413086,s1
True,128,pilot__rnn__s1__seed12,rnn,0.018896261230111122,0.8943607807159424,0.8941028714179993,1.0,1.0032484531402588,1.0018384456634521,0.08400358259677887,12,3.189239978790283,s1
True,128,pilot__rnn__s2__seed10,rnn,0.06112497299909592,0.9041749238967896,0.901594340801239,1.5088766813278198,0.786899209022522,0.6295738220214844,0.46056169271469116,10,2.169497013092041,s2
True,128,pilot__rnn__s2__seed11,rnn,0.045385122299194336,0.8977446556091309,0.8961876630783081,1.1182167530059814,0.8735029101371765,0.868760883808136,0.24828676879405975,11,9.518794059753418,s2
True,128,pilot__rnn__s2__seed12,rnn,0.04353875666856766,0.9009182453155518,0.8994646072387695,1.0866587162017822,0.832619845867157,0.8578225374221802,0.3036385178565979,12,10.34207534790039,s2
True,128,pilot__rnn__t2__seed10,rnn,0.04812503978610039,0.8882523775100708,0.8866538405418396,1.090888500213623,0.9257307648658752,0.9203212261199951,0.29365384578704834,10,2.805945634841919,t2
True,128,pilot__rnn__t2__seed11,rnn,0.04730710759758949,0.88921058177948,0.887859582901001,1.0532699823379517,0.9645047187805176,0.952950656414032,0.22692252695560455,11,2.5214388370513916,t2
True,128,pilot__rnn__t2__seed12,rnn,0.05621630698442459,0.8966713547706604,0.8944745063781738,1.1321361064910889,0.8617834448814392,0.8658312559127808,0.38962119817733765,12,2.329134464263916,t2
