topology,model,model_label,condition_id,condition_axis,condition_value,condition_label,seed_count,task_success_count,finite_count,sequence_mean_error_radians_median,sequence_mean_error_radians_min,sequence_mean_error_radians_max,terminal_mean_error_radians_median,terminal_mean_error_radians_min,terminal_mean_error_radians_max,last_quarter_mean_error_radians_median,last_quarter_mean_error_radians_min,last_quarter_mean_error_radians_max,trial_median_error_radians_median,trial_median_error_radians_min,trial_median_error_radians_max,trial_p90_error_radians_median,trial_p90_error_radians_min,trial_p90_error_radians_max,moving_step_mean_error_radians_median,moving_step_mean_error_radians_min,moving_step_mean_error_radians_max,dwell_step_mean_error_radians_median,dwell_step_mean_error_radians_min,dwell_step_mean_error_radians_max,component_mse_median,component_mse_min,component_mse_max,output_norm_absolute_error_median,output_norm_absolute_error_min,output_norm_absolute_error_max,hold_baseline_mean_error_radians_median,hold_baseline_mean_error_radians_min,hold_baseline_mean_error_radians_max,post_blank_0_mean_error_radians_median,post_blank_0_mean_error_radians_min,post_blank_0_mean_error_radians_max,post_blank_0_median_error_radians_median,post_blank_0_median_error_radians_min,post_blank_0_median_error_radians_max,post_blank_128_mean_error_radians_median,post_blank_128_mean_error_radians_min,post_blank_128_mean_error_radians_max,post_blank_128_median_error_radians_median,post_blank_128_median_error_radians_min,post_blank_128_median_error_radians_max,post_blank_512_mean_error_radians_median,post_blank_512_mean_error_radians_min,post_blank_512_mean_error_radians_max,post_blank_512_median_error_radians_median,post_blank_512_median_error_radians_min,post_blank_512_median_error_radians_max
s1,rnn,RNN,id_h128,id,128,ID T=128,3,1,3,0.07646007090806961,0.06421029567718506,0.2928890585899353,0.13178779184818268,0.11344023048877716,0.5787745118141174,0.12083977460861206,0.1009359359741211,0.530730128288269,0.06287020444869995,0.05292975902557373,0.14190015196800232,0.14159800112247467,0.11581602692604065,0.888630211353302,0.08067216724157333,0.06814853847026825,0.3329409062862396,0.06356058269739151,0.052149467170238495,0.1702309250831604,0.006635528989136219,0.0048037003725767136,0.08698588609695435,0.03496188297867775,0.023651957511901855,0.19578173756599426,1.2498135566711426,1.2498135566711426,1.2498135566711426,0.13178779184818268,0.11344023048877716,0.5787745118141174,0.11314201354980469,0.09829043596982956,0.23253321647644043,0.19944331049919128,0.1859278380870819,0.829168438911438,0.18242788314819336,0.1530606746673584,0.43712377548217773,0.4475271701812744,0.41280117630958557,0.9825702905654907,0.45023512840270996,0.34587666392326355,0.6745877265930176
s1,rnn,RNN,length_h256,length,256,T=256,3,1,3,0.13037140667438507,0.11604081839323044,0.5745135545730591,0.23141884803771973,0.22182700037956238,1.0974657535552979,0.20877425372600555,0.19441479444503784,0.9759253859519958,0.11305957287549973,0.10864099860191345,0.4719318151473999,0.22226890921592712,0.1898723691701889,1.2181706428527832,0.13756893575191498,0.12427087128162384,0.6606493592262268,0.1081961840391159,0.0906844437122345,0.30913305282592773,0.01612248457968235,0.013054153881967068,0.197292298078537,0.034497037529945374,0.022699713706970215,0.29156559705734253,1.345548152923584,1.345548152923584,1.345548152923584,0.23141884803771973,0.22182700037956238,1.0974657535552979,0.22064733505249023,0.2022111415863037,0.8382704257965088,0.3038923740386963,0.2594737708568573,1.122159481048584,0.2682502269744873,0.232069730758667,0.8792579174041748,0.4944396913051605,0.4503134489059448,1.203390121459961,0.4456327259540558,0.41735339164733887,1.0181610584259033
s1,rnn,RNN,length_h512,length,512,T=512,3,1,3,0.23114976286888123,0.2272017002105713,0.9227750897407532,0.4408576488494873,0.41577762365341187,1.4243345260620117,0.3909963071346283,0.37902653217315674,1.3515417575836182,0.2201727330684662,0.21398039162158966,0.9343756437301636,0.3832990825176239,0.3696145713329315,1.5222512483596802,0.2456354945898056,0.24455218017101288,1.036849856376648,0.1865585297346115,0.1737920194864273,0.571620523929596,0.046280790120363235,0.04542664811015129,0.3589971661567688,0.03488870710134506,0.023017656058073044,0.3748794198036194,1.435025930404663,1.435025930404663,1.435025930404663,0.4408576488494873,0.41577762365341187,1.4243345260620117,0.4111645221710205,0.40924882888793945,1.3891525268554688,0.5260317325592041,0.4225282073020935,1.506667137145996,0.4947853088378906,0.3716137409210205,1.503389596939087,0.7260341644287109,0.560810923576355,1.5211769342422485,0.6895687580108643,0.4909650981426239,1.5242583751678467
s1,rnn,RNN,length_h1024,length,1024,T=1024,3,1,3,0.44830334186553955,0.41405627131462097,1.1800860166549683,0.8931747078895569,0.7829123139381409,1.5432230234146118,0.7800787091255188,0.6918885707855225,1.4597089290618896,0.43525952100753784,0.3813868463039398,1.2524211406707764,0.721061646938324,0.6852704286575317,1.672502040863037,0.4813362956047058,0.442350298166275,1.2848396301269531,0.34650737047195435,0.32686376571655273,0.8572716116905212,0.15171688795089722,0.13745218515396118,0.49330946803092957,0.034894756972789764,0.02279287949204445,0.4150662422180176,1.4843645095825195,1.4843645095825195,1.4843645095825195,0.8931747078895569,0.7829123139381409,1.5432230234146118,0.8735470175743103,0.7468597888946533,1.585101842880249,0.977952778339386,0.7752197980880737,1.5130646228790283,0.9545443058013916,0.7655450701713562,1.4925997257232666,1.1579527854919434,0.8439814448356628,1.527151346206665,1.1205408573150635,0.7538492679595947,1.49257493019104
s1,rnn,RNN,length_h2048,length,2048,T=2048,3,1,3,0.8828054666519165,0.7771456241607666,1.3627599477767944,1.4885226488113403,1.4818272590637207,1.7305076122283936,1.5297338962554932,1.3143463134765625,1.5771520137786865,0.8617313504219055,0.771719217300415,1.4162893295288086,1.3023130893707275,1.2926445007324219,1.7409076690673828,0.941572904586792,0.8340893387794495,1.441653847694397,0.7018909454345703,0.6018459796905518,1.119887351989746,0.45972299575805664,0.3943825960159302,0.5906444787979126,0.03441952168941498,0.022401684895157814,0.44319379329681396,1.5195776224136353,1.5195776224136353,1.5195776224136353,1.4885226488113403,1.4818272590637207,1.7305076122283936,1.475531816482544,1.4540159702301025,1.72612726688385,1.5469883680343628,1.4860090017318726,1.8198060989379883,1.4787704944610596,1.447988510131836,1.8242682218551636,1.58759605884552,1.5085582733154297,1.9933804273605347,1.486975908279419,1.4792873859405518,2.039311647415161
s1,rnn,RNN,velocity_x0p5,velocity,0.5,0.5x,3,1,3,0.054692864418029785,0.0496884360909462,0.12736131250858307,0.09921285510063171,0.09174105525016785,0.24874840676784515,0.08960030227899551,0.07967382669448853,0.20852552354335785,0.049149006605148315,0.045289941132068634,0.09452759474515915,0.09127376228570938,0.0909641906619072,0.22827495634555817,0.05546030029654503,0.050591159611940384,0.13318686187267303,0.052342597395181656,0.046923842281103134,0.10952067375183105,0.003251106711104512,0.002532974584028125,0.024651329964399338,0.02800867334008217,0.01852451264858246,0.0757230818271637,1.0554780960083008,1.0554780960083008,1.0554780960083008,0.09921285510063171,0.09174105525016785,0.24874840676784515,0.09284615516662598,0.08040332794189453,0.14899134635925293,0.1741100251674652,0.16422931849956512,0.5414617657661438,0.163008451461792,0.15551424026489258,0.2981114387512207,0.4275742769241333,0.37190085649490356,0.7452026605606079,0.41558146476745605,0.3135509490966797,0.5464515686035156
s1,rnn,RNN,velocity_x1p5,velocity,1.5,1.5x,3,1,3,0.13143503665924072,0.11440704762935638,0.5004450082778931,0.20328709483146667,0.18418927490711212,0.8973796963691711,0.18988671898841858,0.16208377480506897,0.7700071334838867,0.07647223770618439,0.06627264618873596,0.21893851459026337,0.24423649907112122,0.20067423582077026,1.3044753074645996,0.13761939108371735,0.12160687893629074,0.5785310864448547,0.1124955490231514,0.09235769510269165,0.2613077759742737,0.024905206635594368,0.021036524325609207,0.16304808855056763,0.059434980154037476,0.045666784048080444,0.30336737632751465,1.3258905410766602,1.3258905410766602,1.3258905410766602,0.20328709483146667,0.18418927490711212,0.8973796963691711,0.14245223999023438,0.11912869662046432,0.4079310894012451,0.2662079930305481,0.26325011253356934,1.1613417863845825,0.20097994804382324,0.19180893898010254,0.8228768706321716,0.4677661955356598,0.4638647735118866,1.222163438796997,0.4242532253265381,0.4032557010650635,0.9976837635040283
s1,rnn,RNN,velocity_x2,velocity,2.0,2.0x,3,1,3,0.2396630048751831,0.2372054010629654,0.6628247499465942,0.3423486053943634,0.32835328578948975,1.012800693511963,0.3171911835670471,0.3104320466518402,0.9298847317695618,0.10118965804576874,0.09130965173244476,0.46228116750717163,0.558408260345459,0.5050700902938843,1.5247623920440674,0.2502851188182831,0.24095526337623596,0.7551879286766052,0.2257215529680252,0.20713293552398682,0.37996384501457214,0.06583201885223389,0.06351001560688019,0.22121189534664154,0.10433480143547058,0.09225045144557953,0.38398754596710205,1.3806934356689453,1.3806934356689453,1.3806934356689453,0.3423486053943634,0.32835328578948975,1.012800693511963,0.1914806365966797,0.1524503231048584,0.6983520984649658,0.4269726276397705,0.3844251036643982,1.2016711235046387,0.2470712512731552,0.23074841499328613,0.9133565425872803,0.5827310085296631,0.5408881902694702,1.2418560981750488,0.45209193229675293,0.4231712818145752,0.9982759356498718
s1,rnn,RNN,dwell_dense,dwell,dense,dense,3,1,3,0.08604641258716583,0.0718708336353302,0.3942154049873352,0.14561621844768524,0.1312585026025772,0.8189749717712402,0.13496753573417664,0.11430775374174118,0.7090451717376709,0.07026608288288116,0.0584627166390419,0.19076170027256012,0.15084439516067505,0.11905792355537415,1.0630970001220703,0.08604641258716583,0.0718708336353302,0.3942154049873352,,,,0.008276392705738544,0.006354588083922863,0.12647974491119385,0.03663792461156845,0.02333824895322323,0.2626822292804718,1.4443029165267944,1.4443029165267944,1.4443029165267944,0.14561621844768524,0.1312585026025772,0.8189749717712402,0.1367015838623047,0.1107933521270752,0.39141416549682617,0.22868484258651733,0.19749939441680908,1.015017032623291,0.2029709666967392,0.16637516021728516,0.6455106735229492,0.4589165449142456,0.44663578271865845,1.142702579498291,0.4431304931640625,0.40689682960510254,0.8686387538909912
s1,rnn,RNN,dwell_p0p25,dwell,0.25,active p=0.25,3,1,3,0.06001877039670944,0.05287039279937744,0.1006065309047699,0.1052064448595047,0.09028546512126923,0.14354777336120605,0.09517040848731995,0.08190634846687317,0.13130439817905426,0.05128355324268341,0.04265708476305008,0.0774010717868805,0.09870047122240067,0.08894933015108109,0.1739954650402069,0.06467632204294205,0.056068915873765945,0.10538545995950699,0.058452069759368896,0.05179447680711746,0.0989990159869194,0.004462198819965124,0.0033186711370944977,0.013497501611709595,0.027379147708415985,0.022821325808763504,0.06075446307659149,0.9348552227020264,0.9348552227020264,0.9348552227020264,0.1052064448595047,0.09028546512126923,0.14354777336120605,0.09235572814941406,0.0796668529510498,0.09650778025388718,0.18741711974143982,0.1697545051574707,0.337898313999176,0.1664116382598877,0.14519023895263672,0.23017644882202148,0.43881282210350037,0.38994163274765015,0.583031952381134,0.4250175952911377,0.3516025245189667,0.43720507621765137
